"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id","gene_symbol","gene_name","significance"
222.049087170683,8.37968776446656,1.04637576876248,8.0082968419433,1.16307898011355e-15,1.07744729020269e-12,"ENSG00000152292","SH2D6","SH2 domain containing 6","Up"
829.37087175884,6.20319389851614,0.782021475229026,7.93225518097115,2.15201667508188e-15,1.84022256681136e-12,"ENSG00000224259","LINC01133","long intergenic non-protein coding RNA 1133","Up"
201.591474281138,8.35602508356149,1.0530478371396,7.93508593708238,2.10349622756416e-15,1.84022256681136e-12,"ENSG00000197165","SULT1A2","sulfotransferase family 1A member 2","Up"
3909.72731137273,8.34300649508871,1.05418174090991,7.91420129121901,2.48845411089122e-15,2.04910371286832e-12,"ENSG00000101443","WFDC2","WAP four-disulfide core domain 2","Up"
382.029291614175,5.62220046438318,0.721068998347699,7.79703534234064,6.33784946100344e-15,5.0324788238032e-12,"ENSG00000113924","HGD","homogentisate 1,2-dioxygenase","Up"
1229.2197814077,11.008522683273,1.41287441737447,7.79157903059071,6.61769000637345e-15,5.07348627281728e-12,"ENSG00000182271","TMIGD1","transmembrane and immunoglobulin domain containing 1","Up"
55150.8789382074,-14.5526978357384,1.8746542160711,-7.76287045951223,8.30284067324051e-15,6.15323522293854e-12,"ENSG00000169429","CXCL8","C-X-C motif chemokine ligand 8","Down"
606.443234303424,6.17650531365169,0.796683727078099,7.7527695165866,8.99097215435315e-15,6.44826722283012e-12,"ENSG00000148584","A1CF","APOBEC1 complementation factor","Up"
329.915876465,8.6984067524093,1.12292569755392,7.74619974532342,9.46835283153775e-15,6.57843401573684e-12,"ENSG00000162460","TMEM82","transmembrane protein 82","Up"
327.621188287631,9.55070766128496,1.24795502230939,7.65308644185831,1.96211919285543e-14,1.28305282396337e-11,"ENSG00000163295","ALPI","alkaline phosphatase, intestinal","Up"
360.24355003328,10.1892576571375,1.33122669424263,7.65403646216276,1.94767014177637e-14,1.28305282396337e-11,"ENSG00000271824","SMIM32","small integral membrane protein 32","Up"
188.721475899525,6.26874066922314,0.822856224428969,7.61826973305502,2.57098621959603e-14,1.63316390343653e-11,"ENSG00000259120","ERLN","endoregulin","Up"
3586.50092888948,11.7095180451219,1.54403901373404,7.58369311977686,3.35855018693264e-14,2.07418461961315e-11,"ENSG00000131096","PYY","peptide YY","Up"
1491.10030530472,9.00645158567294,1.18875299373329,7.57638603911156,3.55313524156973e-14,2.13505015745459e-11,"ENSG00000080493","SLC4A4","solute carrier family 4 member 4","Up"
1568.05934507801,6.81613164537453,0.911851028117043,7.47504958068614,7.71747513790025e-14,4.51533223002464e-11,"ENSG00000166816","LDHD","lactate dehydrogenase D","Up"
1141.83543143585,12.691370689947,1.70834966172061,7.42902403080911,1.09401871721841e-13,6.23674824100436e-11,"ENSG00000137860","SLC28A2","solute carrier family 28 member 2","Up"
3002.30486672899,7.31769394354679,0.987115752683439,7.41320754293902,1.23280727111394e-13,6.85225101466906e-11,"ENSG00000188833","ENTPD8","ectonucleoside triphosphate diphosphohydrolase 8","Up"
1094.76616482897,6.34578370989693,0.856561293941015,7.40844088424794,1.27792853938287e-13,6.92980127221934e-11,"ENSG00000168903","BTNL3","butyrophilin like 3","Up"
749.629970110665,-5.46131817160188,0.742261955083689,-7.35766953189205,1.87148651488948e-13,9.90684754417568e-11,"ENSG00000119917","IFIT3","interferon induced protein with tetratricopeptide repeats 3","Down"
578.380178276909,6.62926388647109,0.905980728295041,7.31722395347929,2.53153177123445e-13,1.28385350764391e-10,"ENSG00000158315","RHBDL2","rhomboid like 2","Up"
5261.22677747232,6.89677706808413,0.942603292244612,7.31673348144254,2.54079765827067e-13,1.28385350764391e-10,"ENSG00000104267","CA2","carbonic anhydrase 2","Up"
2319.22576145701,10.7184210574176,1.46712156708603,7.30574841095573,2.75727667362502e-13,1.36227849521567e-10,"ENSG00000168447","SCNN1B","sodium channel epithelial 1 subunit beta","Up"
527.885817909814,6.64845306242934,0.912200704275726,7.28836650889029,3.13735534185085e-13,1.51636568076891e-10,"ENSG00000011083","SLC6A7","solute carrier family 6 member 7","Up"
378.866525788916,7.47694919150576,1.03383057814277,7.23227707671186,4.74961895226368e-13,2.2467718758655e-10,"ENSG00000135702","CHST5","carbohydrate sulfotransferase 5","Up"
7121.94278392604,7.08212461195813,0.97994266775655,7.22708056806193,4.93487364382243e-13,2.285771785898e-10,"ENSG00000156966","B3GNT7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","Up"
2441.17944161658,7.33000552159935,1.01554643448342,7.21779455148983,5.28374602917074e-13,2.39741888707251e-10,"ENSG00000167701","GPT","glutamic--pyruvic transaminase","Up"
675.049150035703,5.79233548417976,0.805183103667038,7.19381151665972,6.3007161110141e-13,2.80167642592353e-10,"ENSG00000254827","SLC67A1-AS","SLC67A1 antisense RNA","Up"
14903.927595784,-10.9842560549775,1.53185922933696,-7.17053880971285,7.47031643907129e-13,3.25661853705631e-10,"ENSG00000125538","IL1B","interleukin 1 beta","Down"
4355.14272618554,5.73305323791033,0.8021782938558,7.14685660509895,8.87875395212523e-13,3.7245535210868e-10,"ENSG00000074410","CA12","carbonic anhydrase 12","Up"
532.654283191656,-4.66977770347957,0.653377551521976,-7.14713520934687,8.8607592606035e-13,3.7245535210868e-10,"ENSG00000140511","HAPLN3","hyaluronan and proteoglycan link protein 3","Down"
1587.15067438482,-12.3898529911078,1.74557216847178,-7.09787496323051,1.26689721461764e-12,5.21609736529519e-10,"ENSG00000162747","FCGR3B","Fc gamma receptor IIIb","Down"
646.219279506368,7.73156531828027,1.09148722755999,7.08351423915797,1.40543944430947e-12,5.63360992927573e-10,"ENSG00000162949","CAPN13","calpain 13","Up"
145.209230568154,6.35747720528399,0.897671611317325,7.08218587413548,1.41898149615185e-12,5.63360992927573e-10,"ENSG00000130055","GDPD2","glycerophosphodiester phosphodiesterase domain containing 2","Up"
14515.1989661854,7.22723844132815,1.02557615616477,7.04700318731571,1.82812133501944e-12,7.13063537569951e-10,"ENSG00000007306","CEACAM7","CEA cell adhesion molecule 7","Up"
