"","SRR36750771","SRR36750772","SRR36750775","SRR36750776","SRR36750778","SRR36750779","SRR36750780","SRR36750781","SRR36750783","SRR36750784"
"ENSG00000142611",7.4925568636141,16.4133484071561,20.6264097332186,19.010667140928,35.0761047982879,52.0199132204392,4.71832536864687,57.4252296285911,39.0538142427309,23.0323356091276
"ENSG00000149527",465.608890810305,38.2978129500308,80.1256685790416,294.665340684384,91.3610171490289,218.279635866156,83.0425264881848,167.23838804116,250.812273692205,519.667072180942
"ENSG00000272235",0,7.65956259000617,15.8664690255528,20.9117338550208,24.4717010220613,52.0199132204392,41.5212632440924,7.05222118245855,2.60358761618206,4.31856292671143
"ENSG00000224387",1.07036526623059,0,1.58664690255528,0.950533357046399,0,1.01999829843998,0,0,3.47145015490941,5.7580839022819
"ENSG00000287727",0,0,0,0,0,0,4.71832536864687,2.0149203378453,2.60358761618206,2.87904195114095
"ENSG00000142606",6.42219159738351,17.5075716342998,113.445253532702,90.3006689194079,70.1522095965758,96.8998383517985,65.1128900873268,67.4998313178176,59.8825151721873,146.831139508188
"ENSG00000225931",12.844383194767,3.28266968143121,7.13991106149876,3.8021334281856,4.89434020441226,22.4399625656796,1.88733014745875,23.171583885221,13.8858006196376,2.87904195114095
"ENSG00000229393",2.14073053246117,0,3.17329380511056,2.8516000711392,0.815723367402044,3.05999489531995,0.943665073729373,0,3.47145015490941,2.87904195114095
"ENSG00000048707",1067.15417043189,741.883348003454,872.655796405404,816.508153702857,974.789424045443,1171.97804490754,1081.44017449386,1382.23535176188,1346.05479756612,1068.12456387329
"ENSG00000197921",3.21109579869176,4.37689290857495,5.55326415894348,36.1202675677632,1.63144673480409,52.0199132204392,38.6902680229043,8.0596813513812,59.01465263346,158.347307312752
"ENSG00000189337",132.725293012593,281.215369375941,249.103563701179,138.777870128774,375.23274900494,176.459705630117,248.183914390825,190.409971926381,281.187462547662,119.480240972349
"ENSG00000175147",12.844383194767,50.334268448612,58.7059353945453,64.6362682791551,97.0710807208432,121.379797514358,101.915827962772,76.5669728381214,86.7862538727353,70.5365278029533
"ENSG00000272420",19.2665747921505,4.37689290857495,17.4531159281081,33.268667496624,6.52578693921635,8.15998638751987,23.5916268432343,17.1268228716851,41.6574018589129,12.9556887801343
"ENSG00000232273",0,0,0.79332345127764,1.9010667140928,3.26289346960818,0,0,4.0298406756906,0.867862538727353,0
"ENSG00000130940",109.17725715552,259.330904833066,564.846297309679,552.259880443958,553.060443098586,749.698749353388,579.410355269835,753.580206354143,612.710952341511,305.178446820941
"ENSG00000227527",4.28146106492234,5.47111613571869,6.34658761022112,13.3074669986496,8.15723367402044,7.13998808907989,5.66199044237624,12.0895220270718,13.0179380809103,35.9880243892619
"ENSG00000163873",0,19.6960180885873,22.2130566357739,15.2085337127424,3.26289346960818,17.3399710734797,0,33.2461855744475,27.7716012392753,24.4718565846981
"ENSG00000117215",49.2368022466069,8.75378581714991,31.7329380511056,25.6644006402528,24.4717010220613,15.2999744765998,6.60565551610561,137.01458297348,48.6003021687318,44.6251502426847
"ENSG00000215895",0,0,3.9666172563882,3.8021334281856,0,1.01999829843998,2.83099522118812,0,0,1.43952097557048
"ENSG00000274944",0,3.28266968143121,0,2.8516000711392,3.26289346960818,2.03999659687997,4.71832536864687,4.0298406756906,5.20717523236412,4.31856292671143
"ENSG00000272078",16.0554789934588,22.9786877700185,42.0461429177149,57.0320014227839,31.8132113286797,48.9599183251192,28.3099522118812,55.4103092907458,119.765030344375,40.3065873159733
"ENSG00000159339",1357.22315758038,24.0729109971622,7.13991106149876,10.4558669275104,4.89434020441226,0,8.49298566356436,0,15.6215256970924,5.7580839022819
"ENSG00000117000",1326.1825648597,324.98429846169,362.548817233881,250.940806260249,455.989362377743,434.519275135433,389.733675450231,352.611059122928,225.644260069112,141.073055605907
"ENSG00000116544",49.2368022466069,13.1306787257249,23.7997035383292,53.2298679945983,19.5773608176491,7.13998808907989,13.2113110322112,11.0820618581492,30.3751888554573,84.931737558658
"ENSG00000236723",8.56292212984468,3.28266968143121,1.58664690255528,4.75266678523199,0,7.13998808907989,2.83099522118812,8.0596813513812,7.81076284854618,11.5161678045638
"ENSG00000284686",0,1.09422322714374,0,0.950533357046399,2.44717010220613,1.01999829843998,0.943665073729373,9.06714152030385,2.60358761618206,2.87904195114095
"ENSG00000163877",488.086561401147,298.722941010241,304.636205290614,293.714807327337,253.689967262036,273.359543981916,300.085493445941,297.200749832182,266.433799389297,218.807188286712
