"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000144959",0.587757233720189,0.414241396600035,0.78402655098199,"NS","NCEH1","neutral cholesterol ester hydrolase 1"
"ENSG00000114770",-0.0605234087884185,0.915901233271857,0.980440522453976,"NS","ABCC5","ATP binding cassette subfamily C member 5"
"ENSG00000272886",0.699072179078851,0.194180490714919,0.628032815213849,"NS","DCP1A","decapping mRNA 1A"
"ENSG00000168917",0.0302394493642487,0.977896659637797,0.997253078854035,"NS","SLC35G2","solute carrier family 35 member G2"
"ENSG00000156976",0.410411867835826,0.426028444436407,0.790701310486363,"NS","EIF4A2","eukaryotic translation initiation factor 4A2"
"ENSG00000114745",0.136173705941099,0.737651896302415,0.925337615458758,"NS","GORASP1","golgi reassembly stacking protein 1"
"ENSG00000176597",1.30651377916461,0.0558310844221854,0.440911712008553,"NS","B3GNT5","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"
"ENSG00000114331",0.605194143296399,0.367432103115097,0.758802957384389,"NS","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2"
"ENSG00000163913",-0.404559141470119,0.550297060015463,0.85200444492289,"NS","IFT122","intraflagellar transport 122"
"ENSG00000154174",0.767522135590615,0.0661664803714942,0.465550107963493,"NS","TOMM70","translocase of outer mitochondrial membrane 70"
"ENSG00000071282",0.251165346219815,0.748132201184237,0.931662074622342,"NS","LMCD1","LIM and cysteine rich domains 1"
"ENSG00000077097",0.399905606382404,0.394598786554639,0.774446540087045,"NS","TOP2B","DNA topoisomerase II beta"
"ENSG00000241553",-2.515018173266,0.000752161250742071,0.121201202052674,"NS","ARPC4","actin related protein 2/3 complex subunit 4"
"ENSG00000171148",-1.36667142013094,0.0466151377207193,0.421434322285855,"NS","TADA3","transcriptional adaptor 3"
"ENSG00000182580",0.665713479838017,0.598309207786199,0.874163745665658,"NS","EPHB3","EPH receptor B3"
