"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000287707",-1.18860670129566,0.406916890388195,0.718242555096915,"NS",NA,NA
"ENSG00000164086",-1.40811539402369,0.00483391328937108,0.0487403148129647,"Down","DUSP7","dual specificity phosphatase 7"
"ENSG00000239557",-0.915723643633615,0.526114244636855,0.801555403344837,"NS","PPP2R5CP","protein phosphatase 2 regulatory subunit B'gamma pseudogene"
"ENSG00000163930",-0.204164355516912,0.636856364217291,0.863736201161656,"NS","BAP1","BRCA1 associated deubiquitinase 1"
"ENSG00000223803",-1.79693845226671,0.0340189207564244,0.183000886808029,"NS",NA,NA
"ENSG00000279328",0.76754189763193,0.617794277958311,0.852072032729994,"NS","LOC124906280","uncharacterized LOC124906280"
"ENSG00000270441",-1.83868730642738,0.0750460390805713,0.298604400660759,"NS",NA,NA
"ENSG00000239122",0.356277375799909,0.853945764553655,0.952451463089374,"NS","RNU2-11P","RNA, U2 small nuclear 11, pseudogene"
"ENSG00000231443",2.09315523621525,0.0353747958649714,0.187392860725735,"NS",NA,NA
"ENSG00000228413",-0.847377277101384,0.586587376294746,0.835839078200415,"NS","ARL8BP1","ARL8B pseudogene 1"
"ENSG00000272263",0.350792290651005,0.819711606854942,0.940607696338994,"NS",NA,NA
"ENSG00000188315",-0.500436750125041,0.356545770275348,0.676582674695549,"NS","C3orf62","chromosome 3 open reading frame 62"
"ENSG00000073282",-3.54221415711612,0.0159154055797288,0.109890438588233,"NS","TP63","tumor protein p63"
"ENSG00000163684",0.569147718064077,0.263211816688412,0.586841989614266,"NS","RPP14","ribonuclease P/MRP subunit p14"
"ENSG00000213139",-0.44827087810977,0.39599080993525,0.709090180194137,"NS","CRYGS","crystallin gamma S"
"ENSG00000283390",-0.137592570958774,0.902093425652015,0.970447724997399,"NS",NA,NA
"ENSG00000091181",1.08600178135338,0.399733649069783,0.712692720109743,"NS","IL5RA","interleukin 5 receptor subunit alpha"
