"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000286264",1.92791804266482,0.0549980053045858,0.187154795066244,"NS","LOC114841035","uncharacterized LOC114841035"
"ENSG00000110031",-1.89698333268536,0.0404782576921693,0.155110841652878,"NS","LPXN","leupaxin"
"ENSG00000177098",2.59775940552831,0.0255393427511576,0.116547151335752,"NS","SCN4B","sodium voltage-gated channel beta subunit 4"
"ENSG00000254783",-2.02246110230631,0.0967952380028261,0.264282024624442,"NS","LOC100289518","immunoglobin superfamily member 21 pseudogene"
"ENSG00000149201",0.211148106778917,0.819641608599249,0.905557594063128,"NS","CCDC81","coiled-coil domain containing 81"
"ENSG00000278989",1.47310945820663,0.151218851113265,0.346032185755581,"NS",NA,NA
"ENSG00000137720",-0.038697506532576,0.946241370930273,0.972890510538881,"NS","CFAP68","cilia and flagella associated protein 68"
"ENSG00000199038",3.51319270945384,0.0288676031573989,0.125731887324239,"NS","MIR210","microRNA 210"
"ENSG00000070031",3.3621113831109,0.017114170548001,0.0904658473118654,"NS","SCT","secretin"
"ENSG00000069696",2.01189531736575,0.030256843827177,0.129092383191254,"NS","DRD4","dopamine receptor D4"
"ENSG00000288675",0.0436560840136119,0.967429687659477,0.982902903885809,"NS","PANO1","proapoptotic nucleolar protein 1"
"ENSG00000269463",1.35737158986165,0.224816904229055,0.438500207024422,"NS",NA,NA
"ENSG00000252361",1.25530865970904,0.297935410356932,0.517905223431596,"NS","RNU6-118P","RNA, U6 small nuclear 118, pseudogene"
"ENSG00000166793",-0.755987075831377,0.384301236404683,0.600422753959843,"NS","YPEL4","yippee like 4"
"ENSG00000206913",-0.789554380607246,0.582989906144596,0.756906950713452,"NS","LOC124902824","small nucleolar RNA SNORA7"
"ENSG00000175505",-1.28599920357965,0.00838390669610365,0.0570203112800466,"NS","CLCF1","cardiotrophin like cytokine factor 1"
"ENSG00000275484",3.41966249809273,0.00147875210943814,0.0173856009864381,"Up",NA,NA
"ENSG00000205869",0.35518276249702,0.682145123167573,0.823038613088656,"NS","KRTAP5-1","keratin associated protein 5-1"
"ENSG00000250644",0.608674700638341,0.565634268237666,0.744303189259472,"NS",NA,NA
"ENSG00000235027",0.739105923830924,0.542842014302827,0.728320952507075,"NS","PRADX","PRC2 and DDX5 associated lncRNA"
"ENSG00000175536",0.35598996123661,0.564344728107606,0.743442338094236,"NS","LIPT2","lipoyl(octanoyl) transferase 2"
"ENSG00000186907",-1.1458832674424,0.416538782239023,0.62792416797656,"NS","RTN4RL2","reticulon 4 receptor like 2"
"ENSG00000156587",-2.38223693657213,3.60244597693243e-05,0.00105803410046418,"Down","UBE2L6","ubiquitin conjugating enzyme E2 L6"
"ENSG00000180425",0.798495252632287,0.0878190064797397,0.248375526469985,"NS","C11orf71","chromosome 11 open reading frame 71"
"ENSG00000109927",-1.68019510917232,0.0877999014707562,0.248375526469985,"NS","TECTA","tectorin alpha"
"ENSG00000120451",-0.219914698799767,0.588670705318073,0.761160615158585,"NS","SNX19","sorting nexin 19"
"ENSG00000175544",1.04144695806875,0.395557334876115,0.610619951311685,"NS","CABP4","calcium binding protein 4"
"ENSG00000166670",-6.92648035854773,0.000289741974528394,0.00525435017919232,"Down","MMP10","matrix metallopeptidase 10"
"ENSG00000172757",1.4731406028026,0.0216400261462525,0.104751295734734,"NS","CFL1","cofilin 1"
"ENSG00000196611",-7.11345605907376,8.57136405566994e-06,0.000340298459017339,"Down","MMP1","matrix metallopeptidase 1"
"ENSG00000006118",-2.43166113668697,0.0244924655572045,0.113588023932693,"NS","TMEM132A","transmembrane protein 132A"
"ENSG00000129749",-3.11971270892344,0.047250173801088,0.170178699841178,"NS","CHRNA10","cholinergic receptor nicotinic alpha 10 subunit"
"ENSG00000187079",-0.895090902071477,0.442952535533511,0.65137665999845,"NS","TEAD1","TEA domain transcription factor 1"
