"","Villous","Tubular","EarlyStage","Advanced"
"797",1,0,0,1
"798",1,0,0,1
"799",1,1,1,0
"800",1,0,1,1
"801",1,0,0,1
"802",1,1,1,1
"803",1,1,1,1
"804",1,1,1,1
"805",1,1,1,1
"806",1,1,1,1
"807",1,1,1,1
"808",1,0,1,1
"809",1,1,1,1
"810",1,1,0,0
"811",1,0,0,1
"812",1,0,0,1
"813",1,1,1,1
"814",1,1,1,1
"815",1,1,1,1
"816",1,1,1,1
"817",1,0,1,0
"818",1,1,1,1
"819",1,1,1,1
"820",1,0,1,1
"821",1,0,1,1
"822",1,1,1,1
"823",1,1,1,1
"824",1,1,1,1
"825",1,1,1,1
"826",1,1,1,1
"827",1,1,1,1
"828",1,1,1,1
"829",1,1,1,1
"830",1,1,1,1
"831",1,1,1,1
"832",1,0,1,1
"833",1,1,1,1
"834",1,1,1,1
"835",1,0,1,1
"836",1,1,1,1
"837",1,1,1,1
"838",1,0,0,1
"839",1,0,1,1
"840",1,1,1,1
"841",1,1,1,1
"842",1,1,1,1
"843",1,1,1,1
"844",1,1,1,1
"845",1,0,0,1
"846",1,1,1,1
"847",1,1,1,1
"848",1,1,1,1
"849",1,0,0,0
"850",1,0,0,0
"851",1,1,1,1
"852",1,1,1,1
"853",1,1,1,1
"854",1,1,0,0
"855",1,1,1,1
"856",1,1,1,1
"857",1,1,1,1
"858",1,0,1,1
"859",1,0,1,1
"860",1,0,1,1
"861",1,1,1,0
"862",1,1,1,1
"863",1,0,1,1
"864",1,1,1,1
"865",1,0,1,1
"866",1,1,1,1
"867",1,1,1,1
"868",1,1,1,1
"869",1,1,1,0
"870",1,1,1,1
"871",1,1,1,0
"872",1,1,1,1
"873",1,1,1,1
"874",1,1,1,1
"875",1,1,1,1
"876",1,0,0,0
"877",1,1,0,1
"878",1,1,1,0
"879",1,1,1,1
"880",1,1,1,0
"881",1,1,1,1
"882",1,1,1,1
"883",1,1,1,0
"884",1,1,1,0
"885",1,1,0,0
"886",1,1,1,1
"887",1,1,1,1
"888",1,1,1,1
"889",1,1,1,1
"890",1,1,1,1
"891",1,1,1,1
"892",1,1,1,1
"893",1,1,1,1
"894",1,1,1,1
"895",1,1,1,1
"896",1,0,0,0
"897",1,1,0,0
"898",1,1,1,1
"899",1,1,1,0
"900",1,1,1,0
"901",1,1,1,1
"902",1,0,1,1
"903",1,0,1,1
"904",1,1,1,1
"905",1,1,1,1
"906",1,1,1,1
"907",1,1,1,0
"908",1,1,1,1
"909",1,1,1,1
"910",1,1,1,1
"911",1,1,1,1
"912",1,1,1,1
"913",1,1,1,1
"914",1,1,1,1
"915",1,1,1,1
"916",1,1,1,1
"917",1,1,1,1
"918",1,1,1,1
"919",1,1,1,1
"920",1,1,1,1
"921",1,1,1,1
"922",1,1,0,1
"923",1,1,1,1
"924",1,1,1,1
"925",1,1,1,1
"926",1,1,1,1
"927",1,1,1,1
"928",1,1,1,1
"929",1,1,1,1
"930",1,0,0,0
"931",1,0,1,1
"932",1,1,0,0
"933",1,1,1,1
"934",1,1,1,1
"935",1,1,0,1
"936",1,1,1,1
"937",1,1,1,1
"938",1,1,1,1
"939",1,1,1,1
"940",1,1,0,1
"941",1,1,0,1
"942",1,1,1,1
"943",1,1,0,0
"944",1,1,1,1
"945",1,1,0,1
"946",1,1,1,1
"947",1,1,1,1
"948",1,0,0,1
"949",1,0,1,1
"950",1,0,1,1
"951",1,0,0,1
"952",1,0,1,1
"953",1,1,1,1
"954",1,1,1,1
"955",1,0,0,0
"956",1,1,1,1
"957",1,1,1,1
"958",1,0,1,1
"959",1,1,1,1
"960",1,1,1,0
"961",1,1,1,1
"962",1,1,1,1
"963",1,1,1,1
"964",1,1,1,1
"965",1,0,1,1
"966",1,0,1,0
"967",1,1,1,1
"968",1,1,1,1
"969",1,0,0,0
"970",1,0,1,1
"971",1,1,1,0
"972",1,1,1,1
"973",1,0,0,0
"974",1,1,1,1
"975",1,0,1,1
"976",1,0,1,1
"977",1,1,1,1
"978",1,1,1,1
"979",1,1,1,0
"980",1,1,1,1
"981",1,0,1,0
"982",1,1,1,1
"983",1,1,1,1
"984",1,1,1,0
"985",1,1,1,0
"986",1,0,1,1
"987",1,1,1,1
"988",1,1,0,0
"989",1,0,0,0
"990",1,0,1,1
"991",1,1,1,0
"992",1,1,1,1
"993",1,1,1,1
"994",1,0,1,1
"995",1,1,1,1
"996",1,1,1,1
"997",1,0,1,1
"998",1,1,1,1
"999",1,1,1,0
"1000",1,1,1,1
"1001",1,1,1,1
"1002",1,1,1,1
"1003",1,1,1,1
"1004",1,1,1,1
"1005",1,1,1,1
"1006",1,0,0,1
"1007",1,0,1,1
"1008",1,1,1,1
"1009",1,0,0,0
"1010",1,1,0,1
"1011",1,0,1,1
"1012",1,0,1,1
"1013",1,1,1,1
"1014",1,1,0,0
"1015",1,1,1,1
"1016",1,0,1,1
"1017",1,1,1,1
"1018",1,1,1,1
"1019",1,0,0,0
