"Gene_ID","log2FC","p_value","adjusted_p_value","Regulation","Gene_Symbol","Gene_Name"
"ENSG00000173933",0.307475095665991,0.580428535606709,1,"NS","RBM4","RNA binding motif protein 4"
"ENSG00000151500",0.412643128505671,0.385525223296286,1,"NS","THYN1","thymocyte nuclear protein 1"
"ENSG00000149131",1.40280768786386,0.142497229297961,1,"NS","SERPING1","serpin family G member 1"
"ENSG00000110628",0.649221126696301,0.349651438302048,1,"NS","SLC67A1","solute carrier family 67 member 1"
"ENSG00000129744",-0.158100472454762,0.854104028794406,1,"NS","ART1","ADP-ribosyltransferase 1"
"ENSG00000137496",0.201164187450142,0.663440450751688,1,"NS","IL18BP","interleukin 18 binding protein"
"ENSG00000185475",0.759731108553902,0.196450905931108,1,"NS","TMEM179B","transmembrane protein 179B"
"ENSG00000176148",0.253544735050564,0.599999265865424,1,"NS","TCP11L1","t-complex 11 like 1"
"ENSG00000134339",-2.82609114929271,0.263964914593147,1,"NS","SAA2","serum amyloid A2"
"ENSG00000165917",3.05844892431314,0.0214442624650005,1,"NS","RAPSN","receptor associated protein of the synapse"
"ENSG00000149187",-0.198254825978149,0.601607774752114,1,"NS","CELF1","CUGBP Elav-like family member 1"
"ENSG00000137509",0.147678759782762,0.742966541417819,1,"NS","PRCP","prolylcarboxypeptidase"
"ENSG00000174672",1.95933104832359,0.100885541669725,1,"NS","BRSK2","BR serine/threonine kinase 2"
"ENSG00000175376",-0.464977228439029,0.195256584777367,1,"NS","EIF1AD","eukaryotic translation initiation factor 1A domain containing"
"ENSG00000166326",-0.522543296242596,0.218993740774353,1,"NS","TRIM44","tripartite motif containing 44"
"ENSG00000168010",0.292955649689276,0.622885567110555,1,"NS","ATG16L2","autophagy related 16 like 2"
"ENSG00000158636",-0.600512510880993,0.212860048500762,1,"NS","EMSY","EMSY transcriptional repressor, BRCA2 interacting"
"ENSG00000166181",-0.338679300262916,0.377681488123328,1,"NS","API5","apoptosis inhibitor 5"
"ENSG00000171714",4.90563363782919,6.34059049687253e-06,0.00683921453354659,"Up","ANO5","anoctamin 5"
"ENSG00000175356",-0.805857712189862,0.503511188260606,1,"NS","SCUBE2","signal peptide, CUB domain and EGF like domain containing 2"
"ENSG00000171533",2.0624801624883,0.122088706364116,1,"NS","MAP6","microtubule associated protein 6"
"ENSG00000070081",0.0526981961862779,0.918136672830707,1,"NS","NUCB2","nucleobindin 2"
"ENSG00000197702",-0.206721392331397,0.860237856442014,1,"NS","PARVA","parvin alpha"
"ENSG00000165495",1.89164352295972,0.200319163158203,1,"NS","PKNOX2","PBX/knotted 1 homeobox 2"
"ENSG00000110697",0.249265379322612,0.663452212979027,1,"NS","PITPNM1","phosphatidylinositol transfer protein membrane associated 1"
