Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR36750779_1	(13.0, 5.0)	(14.0, 53.0)	(15.0, 268.0)	(16.0, 620.0)	(17.0, 1156.0)	(18.0, 2106.0)	(19.0, 3499.0)	(20.0, 5268.0)	(21.0, 7959.0)	(22.0, 11157.0)	(23.0, 16442.0)	(24.0, 24757.0)	(25.0, 37233.0)	(26.0, 56609.0)	(27.0, 86664.0)	(28.0, 127788.0)	(29.0, 182093.0)	(30.0, 249547.0)	(31.0, 338464.0)	(32.0, 461322.0)	(33.0, 665362.0)	(34.0, 1141239.0)	(35.0, 3026996.0)	(36.0, 17944414.0)	(37.0, 1688589.0)		
SRR36750779_2	(11.0, 92.0)	(12.0, 2270.0)	(13.0, 9111.0)	(14.0, 14383.0)	(15.0, 15521.0)	(16.0, 15163.0)	(17.0, 14805.0)	(18.0, 16166.0)	(19.0, 20484.0)	(20.0, 30643.0)	(21.0, 45117.0)	(22.0, 58810.0)	(23.0, 69778.0)	(24.0, 76551.0)	(25.0, 84797.0)	(26.0, 98268.0)	(27.0, 119692.0)	(28.0, 151748.0)	(29.0, 197040.0)	(30.0, 263661.0)	(31.0, 365703.0)	(32.0, 545818.0)	(33.0, 905559.0)	(34.0, 1829078.0)	(35.0, 5052753.0)	(36.0, 15271025.0)	(37.0, 805574.0)
SRR36750780_1	(13.0, 5.0)	(14.0, 48.0)	(15.0, 269.0)	(16.0, 642.0)	(17.0, 1246.0)	(18.0, 2042.0)	(19.0, 3435.0)	(20.0, 5651.0)	(21.0, 8902.0)	(22.0, 12218.0)	(23.0, 17032.0)	(24.0, 25116.0)	(25.0, 38496.0)	(26.0, 59723.0)	(27.0, 91532.0)	(28.0, 137826.0)	(29.0, 199678.0)	(30.0, 275215.0)	(31.0, 372557.0)	(32.0, 511811.0)	(33.0, 744227.0)	(34.0, 1292328.0)	(35.0, 3497899.0)	(36.0, 20285256.0)	(37.0, 1782192.0)		
SRR36750780_2	(11.0, 230.0)	(12.0, 4756.0)	(13.0, 17155.0)	(14.0, 23131.0)	(15.0, 23178.0)	(16.0, 21262.0)	(17.0, 20522.0)	(18.0, 22996.0)	(19.0, 29090.0)	(20.0, 43099.0)	(21.0, 62768.0)	(22.0, 85009.0)	(23.0, 101697.0)	(24.0, 119088.0)	(25.0, 136080.0)	(26.0, 163519.0)	(27.0, 201108.0)	(28.0, 253901.0)	(29.0, 330388.0)	(30.0, 441049.0)	(31.0, 617264.0)	(32.0, 940400.0)	(33.0, 1598646.0)	(34.0, 3215677.0)	(35.0, 7628172.0)	(36.0, 12920448.0)	(37.0, 344713.0)
SRR36750781_1	(12.0, 1.0)	(13.0, 7.0)	(14.0, 95.0)	(15.0, 350.0)	(16.0, 854.0)	(17.0, 1403.0)	(18.0, 2484.0)	(19.0, 3876.0)	(20.0, 6302.0)	(21.0, 9551.0)	(22.0, 12917.0)	(23.0, 18602.0)	(24.0, 27498.0)	(25.0, 41088.0)	(26.0, 61711.0)	(27.0, 91459.0)	(28.0, 134023.0)	(29.0, 192277.0)	(30.0, 262739.0)	(31.0, 356675.0)	(32.0, 489655.0)	(33.0, 715974.0)	(34.0, 1246921.0)	(35.0, 3370493.0)	(36.0, 19618411.0)	(37.0, 1722850.0)	
SRR36750781_2	(11.0, 102.0)	(12.0, 2911.0)	(13.0, 11799.0)	(14.0, 17718.0)	(15.0, 18694.0)	(16.0, 17985.0)	(17.0, 17671.0)	(18.0, 18996.0)	(19.0, 24206.0)	(20.0, 34756.0)	(21.0, 50430.0)	(22.0, 68545.0)	(23.0, 81799.0)	(24.0, 94051.0)	(25.0, 108372.0)	(26.0, 128131.0)	(27.0, 158963.0)	(28.0, 203191.0)	(29.0, 266231.0)	(30.0, 356462.0)	(31.0, 500960.0)	(32.0, 756597.0)	(33.0, 1277151.0)	(34.0, 2593879.0)	(35.0, 6642474.0)	(36.0, 14407945.0)	(37.0, 528197.0)
SRR36750783_1	(13.0, 9.0)	(14.0, 116.0)	(15.0, 517.0)	(16.0, 1230.0)	(17.0, 2178.0)	(18.0, 3605.0)	(19.0, 5786.0)	(20.0, 9836.0)	(21.0, 15400.0)	(22.0, 20979.0)	(23.0, 29161.0)	(24.0, 42689.0)	(25.0, 62194.0)	(26.0, 93874.0)	(27.0, 139035.0)	(28.0, 201988.0)	(29.0, 285212.0)	(30.0, 389617.0)	(31.0, 523243.0)	(32.0, 713239.0)	(33.0, 1036935.0)	(34.0, 1794780.0)	(35.0, 4810691.0)	(36.0, 27454314.0)	(37.0, 2436932.0)		
SRR36750783_2	(11.0, 282.0)	(12.0, 5590.0)	(13.0, 19448.0)	(14.0, 28400.0)	(15.0, 29154.0)	(16.0, 28468.0)	(17.0, 28131.0)	(18.0, 31374.0)	(19.0, 40743.0)	(20.0, 59515.0)	(21.0, 87178.0)	(22.0, 118036.0)	(23.0, 145028.0)	(24.0, 168598.0)	(25.0, 195287.0)	(26.0, 233786.0)	(27.0, 286743.0)	(28.0, 360282.0)	(29.0, 466971.0)	(30.0, 620031.0)	(31.0, 866195.0)	(32.0, 1309700.0)	(33.0, 2208763.0)	(34.0, 4421431.0)	(35.0, 10427328.0)	(36.0, 17439369.0)	(37.0, 447729.0)
SRR36750784_1	(13.0, 5.0)	(14.0, 113.0)	(15.0, 590.0)	(16.0, 1306.0)	(17.0, 2063.0)	(18.0, 3122.0)	(19.0, 4755.0)	(20.0, 7843.0)	(21.0, 13612.0)	(22.0, 22403.0)	(23.0, 33644.0)	(24.0, 48166.0)	(25.0, 65022.0)	(26.0, 88486.0)	(27.0, 124032.0)	(28.0, 171515.0)	(29.0, 233577.0)	(30.0, 307093.0)	(31.0, 396488.0)	(32.0, 509660.0)	(33.0, 689213.0)	(34.0, 1082912.0)	(35.0, 2424775.0)	(36.0, 26120041.0)	(37.0, 4992384.0)		
SRR36750784_2	(11.0, 46.0)	(12.0, 3067.0)	(13.0, 14844.0)	(14.0, 23851.0)	(15.0, 25607.0)	(16.0, 25480.0)	(17.0, 25745.0)	(18.0, 29036.0)	(19.0, 36862.0)	(20.0, 53085.0)	(21.0, 76350.0)	(22.0, 99018.0)	(23.0, 114556.0)	(24.0, 126385.0)	(25.0, 139595.0)	(26.0, 157376.0)	(27.0, 183875.0)	(28.0, 219469.0)	(29.0, 269413.0)	(30.0, 338664.0)	(31.0, 446402.0)	(32.0, 628566.0)	(33.0, 988046.0)	(34.0, 1991312.0)	(35.0, 6490460.0)	(36.0, 23817955.0)	(37.0, 1017755.0)
