Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750779_1	(1, 36.139279536772214)	(2, 36.153138486350066)	(3, 36.317571275030566)	(4, 36.33628673895047)	(5, 36.36744314811456)	(6, 36.342276130662995)	(7, 36.32790892961973)	(8, 36.402449116378655)	(9, 36.38564127300983)	(10, 36.37838091903982)	(15, 36.35235434885722)	(20, 36.31296654359478)	(25, 36.24505390993194)	(30, 36.2037604550068)	(35, 36.17563693628854)	(40, 36.16002259236238)	(45, 36.14123050152973)	(50, 36.10809753673463)	(55, 36.053702053059844)	(60, 36.05083517736653)	(65, 36.02730425800079)	(70, 35.99843973126899)	(75, 35.9604221995651)	(80, 35.885103926017294)	(85, 35.8906761182395)	(90, 35.87044961178484)	(95, 35.82146921675593)	(100, 35.80877643492368)	(105, 35.75777653116746)	(110, 35.73042425864497)	(115, 35.70681920473504)	(120, 35.691512204361956)	(125, 35.665547437250794)	(130, 35.5629575212206)	(135, 35.571682390956)	(140, 35.559253294048496)	(145, 35.498099810541646)	(150, 35.4971228480794)
SRR36750779_2	(1, 35.8658844975059)	(2, 35.72620503144027)	(3, 35.87908469490149)	(4, 35.88527278590439)	(5, 35.938281362336326)	(6, 35.893770113893574)	(7, 35.89129553701148)	(8, 35.94273096875298)	(9, 35.930221042415894)	(10, 35.95340385841659)	(15, 35.93333761509471)	(20, 35.90584681289329)	(25, 35.846431277154835)	(30, 35.82346324964216)	(35, 35.7687211426858)	(40, 35.75330207008464)	(45, 35.7277395942654)	(50, 35.63216476013254)	(55, 35.64923895717766)	(60, 35.62018833870599)	(65, 35.585034362093594)	(70, 35.528604791252626)	(75, 35.41099044042453)	(80, 35.444725676495935)	(85, 35.394151423276654)	(90, 35.3647406920579)	(95, 35.32712933974089)	(100, 35.24042473794662)	(105, 35.26108812209999)	(110, 35.22059447207992)	(115, 35.14173785574248)	(120, 35.108185766581634)	(125, 34.964444299588834)	(130, 34.95016637902177)	(135, 34.934989533969265)	(140, 34.880757841087345)	(145, 34.80653182313692)	(150, 34.767471407739606)
SRR36750780_1	(1, 36.168053221644314)	(2, 36.15989465950784)	(3, 36.32489618886152)	(4, 36.342160688316085)	(5, 36.37229692440879)	(6, 36.34405029656385)	(7, 36.330261117985806)	(8, 36.40655526415388)	(9, 36.39298116902828)	(10, 36.38408002412095)	(15, 36.35430294606438)	(20, 36.316596794057865)	(25, 36.248107834316)	(30, 36.20734054351003)	(35, 36.18175432361669)	(40, 36.165505150186206)	(45, 36.14936732569063)	(50, 36.11302094652656)	(55, 36.058185147895074)	(60, 36.05688369549605)	(65, 36.03587021927139)	(70, 36.00738505856529)	(75, 35.968346260929465)	(80, 35.89166713717591)	(85, 35.89622347375032)	(90, 35.8783921088483)	(95, 35.82585691311112)	(100, 35.815213067811285)	(105, 35.75874495059585)	(110, 35.73614051065497)	(115, 35.7118842189021)	(120, 35.699199818725106)	(125, 35.67067085128164)	(130, 35.567171883484704)	(135, 35.57813230601812)	(140, 35.56455014015499)	(145, 35.50381841235584)	(150, 35.501185240589365)
SRR36750780_2	(1, 35.2826660377167)	(2, 35.09349537376471)	(3, 35.35390568869851)	(4, 35.386794318718394)	(5, 35.46266282712964)	(6, 35.412319541543965)	(7, 35.45722737269978)	(8, 35.518134470474145)	(9, 35.52709421506561)	(10, 35.51938233590028)	(15, 35.49246784968922)	(20, 35.464312281557994)	(25, 35.38319356427811)	(30, 35.363263487513485)	(35, 35.29567209594602)	(40, 35.275951259011215)	(45, 35.24574202531106)	(50, 35.12486110669359)	(55, 35.1548958966804)	(60, 35.12198673906311)	(65, 35.08369311228276)	(70, 35.01599408363858)	(75, 34.868522550355785)	(80, 34.9149381178754)	(85, 34.84936757768834)	(90, 34.82178037336935)	(95, 34.774909561767124)	(100, 34.672918909247656)	(105, 34.70002212131266)	(110, 34.658198074696614)	(115, 34.562163170153006)	(120, 34.524183614250624)	(125, 34.351383423168244)	(130, 34.33671767395488)	(135, 34.32306701920011)	(140, 34.258312454414806)	(145, 34.17747276670944)	(150, 34.12898608448203)
SRR36750781_1	(1, 36.190823333174585)	(2, 36.19149526690934)	(3, 36.34512897886926)	(4, 36.35899695141111)	(5, 36.38687982365641)	(6, 36.35939669474123)	(7, 36.34434759831333)	(8, 36.415658454902555)	(9, 36.399617785069694)	(10, 36.39396025449433)	(15, 36.36469073646614)	(20, 36.325111567419384)	(25, 36.2558391481874)	(30, 36.21347449941905)	(35, 36.18327070640861)	(40, 36.16823276249554)	(45, 36.148144032721184)	(50, 36.11188460733145)	(55, 36.05610048901981)	(60, 36.05238681430352)	(65, 36.027798520343794)	(70, 35.99823430961636)	(75, 35.95920279034089)	(80, 35.88083344159422)	(85, 35.8868617175521)	(90, 35.86640619473939)	(95, 35.81541340251884)	(100, 35.802310162780216)	(105, 35.749201302399555)	(110, 35.721659613975035)	(115, 35.6973638498453)	(120, 35.682254503065636)	(125, 35.65229443090048)	(130, 35.55192837056052)	(135, 35.558440164045535)	(140, 35.545869483309545)	(145, 35.48342071231245)	(150, 35.48010230723903)
SRR36750781_2	(1, 35.594399873524985)	(2, 35.43262345192808)	(3, 35.64368659164774)	(4, 35.662036881782214)	(5, 35.7226599233992)	(6, 35.6720671704062)	(7, 35.70623557323926)	(8, 35.7657835913324)	(9, 35.756415197066275)	(10, 35.76371394384205)	(15, 35.736979160648914)	(20, 35.70487933443933)	(25, 35.63407750596233)	(30, 35.61105586909723)	(35, 35.54713446593473)	(40, 35.52867497556028)	(45, 35.502092530224516)	(50, 35.38903064567354)	(55, 35.41380977233652)	(60, 35.37862951303456)	(65, 35.340237611267995)	(70, 35.272836750291034)	(75, 35.14081199748516)	(80, 35.17811823046576)	(85, 35.11869617308816)	(90, 35.08765635713071)	(95, 35.044091935893405)	(100, 34.94879369665216)	(105, 34.96978391315608)	(110, 34.92812949570343)	(115, 34.83704635049979)	(120, 34.803814505286276)	(125, 34.639959812902646)	(130, 34.62607369198544)	(135, 34.61006530315255)	(140, 34.55285580467614)	(145, 34.470806330344956)	(150, 34.42899004291076)
SRR36750783_1	(1, 36.16482054501771)	(2, 36.173118385289456)	(3, 36.329302787174385)	(4, 36.345957758681784)	(5, 36.370904356887685)	(6, 36.34209376456696)	(7, 36.328826513042515)	(8, 36.403712672395464)	(9, 36.38966540531962)	(10, 36.38132344618246)	(15, 36.35042017230313)	(20, 36.311361965345725)	(25, 36.23818645510906)	(30, 36.19382771583059)	(35, 36.16410803033223)	(40, 36.14636523932488)	(45, 36.12663710436507)	(50, 36.08672843640545)	(55, 36.033028320917836)	(60, 36.027483477884175)	(65, 36.00222678494249)	(70, 35.970292107813734)	(75, 35.9314416388262)	(80, 35.8504620452987)	(85, 35.8536154362128)	(90, 35.835336066972836)	(95, 35.781549400652196)	(100, 35.77248042350118)	(105, 35.71312993405128)	(110, 35.69006653763729)	(115, 35.66171234599572)	(120, 35.64827499228918)	(125, 35.616582958938515)	(130, 35.51053474161018)	(135, 35.51695909722021)	(140, 35.500997730174205)	(145, 35.434701473989335)	(150, 35.435979633454075)
SRR36750783_2	(1, 35.2649153706334)	(2, 35.097316135626585)	(3, 35.362570757377185)	(4, 35.39608407638353)	(5, 35.465175592086155)	(6, 35.41157097098436)	(7, 35.452003914800684)	(8, 35.51517144970399)	(9, 35.48811560540167)	(10, 35.526606400828875)	(15, 35.49187592018278)	(20, 35.46049304329339)	(25, 35.379242273459106)	(30, 35.35469594415869)	(35, 35.28132704955586)	(40, 35.26258592448487)	(45, 35.2320554500274)	(50, 35.106241347162566)	(55, 35.135827079001714)	(60, 35.10052758976242)	(65, 35.058688611643184)	(70, 34.986289648336715)	(75, 34.84145413584419)	(80, 34.883004345009525)	(85, 34.81621722152961)	(90, 34.78550560020123)	(95, 34.73905928497493)	(100, 34.63522765134917)	(105, 34.65923981298393)	(110, 34.61661855348015)	(115, 34.5171583058755)	(120, 34.47967072553574)	(125, 34.30300516849514)	(130, 34.2870354218592)	(135, 34.270499416572925)	(140, 34.20879977221888)	(145, 34.122866773004446)	(150, 34.07940607223316)
SRR36750784_1	(1, 36.445135985980706)	(2, 36.4969158194266)	(3, 36.534656407844935)	(4, 36.568784896266536)	(5, 36.587454455769546)	(6, 36.56194486650981)	(7, 36.5301539626627)	(8, 36.57649374096547)	(9, 36.568583572424366)	(10, 36.566759896547715)	(15, 36.559085478814936)	(20, 36.5343316118065)	(25, 36.493862338195136)	(30, 36.463473219215906)	(35, 36.437839381171536)	(40, 36.40251458245521)	(45, 36.36671712527335)	(50, 36.35268403403921)	(55, 36.316196205856976)	(60, 36.28705721742493)	(65, 36.25460845217367)	(70, 36.227909113452064)	(75, 36.20808598814979)	(80, 36.18087357087654)	(85, 36.12749903194242)	(90, 36.101589671053226)	(95, 36.065314344230025)	(100, 36.02428459339707)	(105, 36.007581071809796)	(110, 35.94910981013218)	(115, 35.89837582164389)	(120, 35.83723655578234)	(125, 35.80839454010168)	(130, 35.77646856879046)	(135, 35.70043650693761)	(140, 35.6255211791718)	(145, 35.604959154129226)	(150, 35.50497605697695)
SRR36750784_2	(1, 36.00027084189143)	(2, 35.888175156562895)	(3, 36.004829951246315)	(4, 36.040172113407614)	(5, 36.0711330317314)	(6, 35.99263553207819)	(7, 35.988923332517466)	(8, 36.04536572224594)	(9, 36.06735195681526)	(10, 36.05718060928446)	(15, 36.0486318922888)	(20, 36.03882950457411)	(25, 35.96246305983319)	(30, 35.938717043865466)	(35, 35.90210060193633)	(40, 35.86218372367165)	(45, 35.82509651922378)	(50, 35.76853884093381)	(55, 35.73006863434524)	(60, 35.70968057581082)	(65, 35.65071868701935)	(70, 35.605072964494916)	(75, 35.54185959175017)	(80, 35.50408052739456)	(85, 35.473358883983586)	(90, 35.446920377197)	(95, 35.36563463605587)	(100, 35.33874023440116)	(105, 35.25945501705549)	(110, 35.22822588117341)	(115, 35.13068179639352)	(120, 35.126622831376956)	(125, 35.005244054948186)	(130, 34.96934595726836)	(135, 34.82120280685818)	(140, 34.79088192054054)	(145, 34.65302174822362)	(150, 34.57740325985022)
