Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR36750772_2 - polya	(1, 0.004899117933378545)	(2, 0.009547326180933015)	(3, 0.019064883416090295)	(4, 0.03255021585249947)	(5, 0.04644380811669018)	(6, 0.05889148015748793)	(7, 0.07153477669909766)	(8, 0.09060816552826674)	(9, 0.1118419292794465)	(10, 0.13895293346806475)	(12, 0.16723343195501555)	(14, 0.20081492914331736)	(16, 0.23493439370885216)	(18, 0.2646267907668808)	(20, 0.29275419181841356)	(22, 0.3205094810477495)	(24, 0.345796074130969)	(26, 0.3719013132230212)	(28, 0.39758340801440406)	(30, 0.42110938059031566)	(32, 0.44273651969638905)	(34, 0.4649866803104833)	(36, 0.4842131665750704)	(38, 0.503101562669776)	(40, 0.5221834569120238)	(42, 0.540208553579233)	(44, 0.5581103217567999)	(46, 0.5768009669974238)	(48, 0.593163255407731)	(50, 0.6088195945324993)	(52, 0.6251478612904915)	(54, 0.6429985969895856)	(56, 0.659024921583281)	(58, 0.6751618165470005)	(60, 0.6909946429931535)	(62, 0.7085561946475691)	(64, 0.7249716418896187)	(66, 0.7422759047984011)	(68, 0.7598544672789742)	(70, 0.7766654162291872)	(72, 0.7908652033642141)	(74, 0.8039082543205266)	(76, 0.8176168538502537)	(78, 0.8310001213297176)	(80, 0.8439432336823545)	(82, 0.8564334327885461)	(84, 0.8713540536819997)	(86, 0.8875696237166979)	(88, 0.9025327716755456)	(90, 0.9184910529646106)	(92, 0.9329098544864162)	(94, 0.9481664391964817)	(96, 0.9603844650841524)	(98, 0.9727343248745441)	(100, 0.9848460330987299)	(102, 0.9973043369058762)	(104, 1.009868958376507)	(106, 1.021736135974678)	(108, 1.0349110208337118)	(110, 1.0466740071216676)	(112, 1.0576821379988812)	(114, 1.0683819476519893)	(116, 1.0794815117198)	(118, 1.0908000901743895)	(120, 1.1017656939862093)	(122, 1.1128822688801776)	(124, 1.1236905225500402)	(126, 1.135817115247114)	(128, 1.1476077441275758)	(130, 1.1609697480743426)	(132, 1.1753205062915177)	(134, 1.1898902788954717)	(136, 1.2039731166006655)	(138, 1.2170267993233264)
SRR36750772_2 - polyg	(1, 0.5628882375538058)	(2, 0.5789124357942315)	(3, 0.5792951793827766)	(4, 0.5797842406348066)	(5, 0.5802775545933759)	(6, 0.5807410996061696)	(7, 0.5812514243908965)	(8, 0.582212536068799)	(9, 0.5834330628456041)	(10, 0.5853000010163969)	(12, 0.5877580653961649)	(14, 0.5894655270717304)	(16, 0.5902565304880572)	(18, 0.5908200141045266)	(20, 0.5913409706556019)	(22, 0.5919491076907348)	(24, 0.5925508656660587)	(26, 0.5930548113909766)	(28, 0.5935991578280186)	(30, 0.5942306847491181)	(32, 0.5948366954309814)	(34, 0.595468222352081)	(36, 0.5959998106695048)	(38, 0.5965399044000075)	(40, 0.597088503543589)	(42, 0.5976945142254522)	(44, 0.598283514081158)	(46, 0.5989426835947635)	(48, 0.599567831456054)	(50, 0.6001483258986808)	(52, 0.6007585892870835)	(54, 0.6014475277464648)	(56, 0.6021598560918129)	(58, 0.6028190256054184)	(60, 0.6034462998199787)	(62, 0.6041097220401237)	(64, 0.6048369348583595)	(66, 0.6056619599270014)	(68, 0.6064806059358342)	(70, 0.6072418404063853)	(72, 0.6079329052190363)	(74, 0.6086856342765086)	(76, 0.6095085329918808)	(78, 0.6103420634736014)	(80, 0.6114265036411461)	(82, 0.6125959979394786)	(84, 0.6138229037760929)	(86, 0.6150455569061679)	(88, 0.6162022930848823)	(90, 0.6175737909438359)	(92, 0.618809202193529)	(94, 0.620016970850716)	(96, 0.6214161113021758)	(98, 0.6228386416396021)	(100, 0.6243930058797496)	(102, 0.6259367383535485)	(104, 0.6276399473225747)	(106, 0.6294430948952765)	(108, 0.6313419283651146)	(110, 0.6334172491563375)	(112, 0.6355180861867966)	(114, 0.6376082914509074)	(116, 0.6398515941504361)	(118, 0.6422012145134498)	(120, 0.6448740405734571)	(122, 0.6474830760353736)	(124, 0.6499900465403445)	(126, 0.6525267859910914)	(128, 0.6553293196005501)	(130, 0.6583721311294843)	(132, 0.6615552819742186)	(134, 0.6647958443572346)	(136, 0.6679152046038781)	(138, 0.6711536406336243)
SRR36750775_1 - illumina_universal_adapter	(1, 4.782284527700455e-05)	(2, 5.06359538227107e-05)	(3, 5.344906236841685e-05)	(4, 6.470149655124145e-05)	(5, 6.470149655124145e-05)	(6, 6.75146050969476e-05)	(7, 6.75146050969476e-05)	(8, 7.31408221883599e-05)	(9, 7.31408221883599e-05)	(10, 8.017359355262527e-05)	(12, 0.00010830467900968676)	(14, 0.00015472097001383825)	(16, 0.00021520280374652046)	(18, 0.0002981895058448519)	(20, 0.00040649418485453866)	(22, 0.0005584020463226707)	(24, 0.000752506535976395)	(26, 0.0009831814367242994)	(28, 0.001220889108836469)	(30, 0.0015050130719527902)	(32, 0.0018088287948890545)	(34, 0.0021857853400136787)	(36, 0.0025838401992310986)	(38, 0.0029593901900828697)	(40, 0.003327907409570375)	(42, 0.003725962268787795)	(44, 0.0041127646938223916)	(46, 0.004568488278226788)	(48, 0.005059375719452511)	(50, 0.005530571400858291)	(52, 0.006011612962174042)	(54, 0.006541883923039652)	(56, 0.007089033535179498)	(58, 0.007644622472956462)	(60, 0.008176299988094925)	(62, 0.008882390233067168)	(64, 0.009547690404126674)	(66, 0.01016938739272773)	(68, 0.010892356288974211)	(70, 0.011732069189867498)	(72, 0.012625231153129201)	(74, 0.013654828880857652)	(76, 0.01464644964321907)	(78, 0.015709804673495992)	(80, 0.016913815131058225)	(82, 0.018435706854285253)	(84, 0.020340181339728314)	(86, 0.022305137658904062)	(88, 0.024414969068183676)	(90, 0.026917229119589294)	(92, 0.029890684852400696)	(94, 0.033653217532282675)	(96, 0.038135905999865424)	(98, 0.04305040662921407)	(100, 0.04890870517564712)	(102, 0.05641970499268254)	(104, 0.06567623866232863)	(106, 0.07630697585655216)	(108, 0.08874513529139191)	(110, 0.10291898269893235)	(112, 0.12038979332204039)	(114, 0.14219701076835445)	(116, 0.16804103897775685)	(118, 0.1968177328460579)	(120, 0.22930351033187255)	(122, 0.26729172813308844)	(124, 0.31354767195013467)	(126, 0.3653623182534962)	(128, 0.4222827565673144)	(130, 0.4851008769472056)	(132, 0.5554595347838621)	(134, 0.6363617234498253)	(136, 0.7279030886356491)	(138, 0.8257317514211262)
SRR36750775_1 - polya	(1, 0.0026330695987809563)	(2, 0.0067655260524232905)	(3, 0.008864105027520079)	(4, 0.011862878737242835)	(5, 0.014526892530026559)	(6, 0.016721117195677353)	(7, 0.01928948529790707)	(8, 0.02578495292994257)	(9, 0.035478924978445965)	(10, 0.0438226049250104)	(12, 0.049976279868742604)	(14, 0.060780023238527076)	(16, 0.07409165287680858)	(18, 0.08515982844988942)	(20, 0.09678499951502009)	(22, 0.10723429120804558)	(24, 0.11834747651785774)	(26, 0.12933407194311308)	(28, 0.1398100881673228)	(30, 0.1491467954305215)	(32, 0.15763394391291696)	(34, 0.16589323060311023)	(36, 0.1729710117041069)	(38, 0.18018100890675176)	(40, 0.18812100777700735)	(42, 0.1958584628319721)	(44, 0.20489698058932598)	(46, 0.2131126640970608)	(48, 0.220702430953376)	(50, 0.22822468320459421)	(52, 0.2360971674697529)	(54, 0.24575597566143498)	(56, 0.2534174767856657)	(58, 0.2611099221038991)	(60, 0.26895005562078217)	(62, 0.27866653253765117)	(64, 0.28739982801779596)	(66, 0.2981838796277605)	(68, 0.3083757718888539)	(70, 0.31722862448219113)	(72, 0.32510814151871403)	(74, 0.332097309700521)	(76, 0.33951407038127523)	(78, 0.3471502535285946)	(80, 0.35351772472180043)	(82, 0.3603985882245977)	(84, 0.37068049995915364)	(86, 0.38230004480719293)	(88, 0.3921135739688888)	(90, 0.40334209672907495)	(92, 0.41511354943858225)	(94, 0.4256345753995233)	(96, 0.4340134192029091)	(98, 0.44106447577272156)	(100, 0.44849952165902285)	(102, 0.45722859747634903)	(104, 0.4655117955891809)	(106, 0.47323940476423565)	(108, 0.48201067720974744)	(110, 0.489309287331582)	(112, 0.49628298341638755)	(114, 0.5030077193948981)	(116, 0.5103246147222797)	(118, 0.5183504134031794)	(120, 0.5265632838023686)	(122, 0.5337578089080119)	(124, 0.5419636465358368)	(126, 0.5511822032401159)	(128, 0.5598226661382524)	(130, 0.5698865619605161)	(132, 0.5800334444848783)	(134, 0.5907415421641087)	(136, 0.6007435495983668)	(138, 0.6095415465750629)
SRR36750775_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0001406554272853075)	(4, 0.00019410448965372434)	(5, 0.00029537639729914576)	(6, 0.00042477939040162863)	(7, 0.0005766872518697607)	(8, 0.0009789617739057403)	(9, 0.0015865932197782686)	(10, 0.002125303506280996)	(12, 0.0026963645410593446)	(14, 0.0033307205181160814)	(16, 0.003880683238801634)	(18, 0.004343439594570295)	(20, 0.0048371401443417245)	(22, 0.0053364669112045664)	(24, 0.00571764311914775)	(26, 0.006191651909099236)	(28, 0.006707857327236315)	(30, 0.007225469299646245)	(32, 0.007789497563060329)	(34, 0.008371811032021503)	(36, 0.009062429179992362)	(38, 0.009731949013870426)	(40, 0.010388809859292813)	(42, 0.011166634372180562)	(44, 0.011941645776522606)	(46, 0.012720876843683209)	(48, 0.013526832442028021)	(50, 0.01433560114891854)	(52, 0.01531878258564284)	(54, 0.01649888162056657)	(56, 0.017728210055040158)	(58, 0.018920968078419566)	(60, 0.020078562244977644)	(62, 0.021369779067456768)	(64, 0.0227566415804899)	(66, 0.02406895671706182)	(68, 0.02617738157206858)	(70, 0.038650704863729644)	(72, 0.04168745553881943)	(74, 0.04328811430132623)	(76, 0.04464965883744801)	(78, 0.046025268916298316)	(80, 0.04732492506441456)	(82, 0.04872444656590337)	(84, 0.050053640353749526)	(86, 0.05161772870516214)	(88, 0.05339561330604843)	(90, 0.05529727468294579)	(92, 0.05725238512221156)	(94, 0.059289075709302815)	(96, 0.06164646067060457)	(98, 0.06400806529472489)	(100, 0.06622620138301417)	(102, 0.06842323915721069)	(104, 0.07079609621551383)	(106, 0.0730719010289901)	(108, 0.07617616630917684)	(110, 0.0787431278571337)	(112, 0.08143949239819304)	(114, 0.08438622359982023)	(116, 0.08719229937416212)	(118, 0.09009402083905801)	(120, 0.09342052169435552)	(122, 0.0975220339539951)	(124, 0.10078805297555994)	(126, 0.10436914015424387)	(128, 0.10857192432152885)	(130, 0.11272969875208255)	(132, 0.11656677880842573)	(134, 0.12026882965457503)	(136, 0.1247810557618877)	(138, 0.1287855157767004)
SRR36750775_2 - illumina_universal_adapter	(1, 5.06359538227107e-05)	(2, 5.344906236841685e-05)	(3, 5.6262170914123e-05)	(4, 6.470149655124145e-05)	(5, 6.470149655124145e-05)	(6, 6.75146050969476e-05)	(7, 6.75146050969476e-05)	(8, 7.31408221883599e-05)	(9, 7.595393073406604e-05)	(10, 8.158014782547835e-05)	(12, 0.00010830467900968676)	(14, 0.00015050130719527902)	(16, 0.00021098314092796123)	(18, 0.0003094419400276765)	(20, 0.0004430645959487186)	(22, 0.0006160707715096468)	(24, 0.0008734702034417595)	(26, 0.0011632203836494928)	(28, 0.0014951671920428187)	(30, 0.0018890023884416797)	(32, 0.0023517587442103416)	(34, 0.0028876559221673627)	(36, 0.003533264333406924)	(38, 0.00406212873999968)	(40, 0.00466554052305365)	(42, 0.005284424403109002)	(44, 0.005903308283164355)	(46, 0.006555949465768183)	(48, 0.0072634462650132785)	(50, 0.008037051115082471)	(52, 0.008789557651058866)	(54, 0.009636303323316418)	(56, 0.01041553439047702)	(58, 0.011256653845643158)	(60, 0.012132937157630624)	(62, 0.013127371028537749)	(64, 0.014100706585352077)	(66, 0.015089514239167788)	(68, 0.0161472430523533)	(70, 0.017309056881729942)	(72, 0.018542604979022086)	(74, 0.019940719926238044)	(76, 0.02125162850853711)	(78, 0.0226666221070273)	(80, 0.02420679903580142)	(82, 0.026062044121694626)	(84, 0.028306904741168135)	(86, 0.030691014233654095)	(88, 0.033224218479062484)	(90, 0.03613297271532265)	(92, 0.039519955404352845)	(94, 0.043710080583182154)	(96, 0.04863161398389507)	(98, 0.053945576026733985)	(100, 0.06017661145547311)	(102, 0.06813911519409435)	(104, 0.07783027413405205)	(106, 0.08894064633531848)	(108, 0.10182749658319837)	(110, 0.1163698612102263)	(112, 0.13436391002283568)	(114, 0.15658606097964142)	(116, 0.18298849123536648)	(118, 0.21226310531625753)	(120, 0.24522851780911506)	(122, 0.2839593962663973)	(124, 0.3309242434369615)	(126, 0.3832157116388203)	(128, 0.44061156529686285)	(130, 0.5038347733073357)	(132, 0.5748531050979604)	(134, 0.6565893804477254)	(136, 0.7488523079755227)	(138, 0.847263284229961)
SRR36750775_2 - polya	(1, 0.004205597275830694)	(2, 0.009488615124666843)	(3, 0.017660695449943208)	(4, 0.030668509365288445)	(5, 0.04282395139128472)	(6, 0.05467557769434473)	(7, 0.06563263547987018)	(8, 0.0835662024587469)	(9, 0.10356740421871762)	(10, 0.12836636260339018)	(12, 0.1529543378471348)	(14, 0.18387884009008248)	(16, 0.2161522278806963)	(18, 0.24546622548122723)	(20, 0.27342149165418206)	(22, 0.2995819945749764)	(24, 0.3245075428442058)	(26, 0.3484091196027981)	(28, 0.37154271772841263)	(30, 0.39323881738717126)	(32, 0.41352976932734975)	(34, 0.43304711641745897)	(36, 0.44972181732213223)	(38, 0.4665062294600879)	(40, 0.48356773278979576)	(42, 0.4999864408168097)	(44, 0.5168960362850494)	(46, 0.5327732209170148)	(48, 0.5475659522046107)	(50, 0.5618734222680721)	(52, 0.5761612005717136)	(54, 0.5911255314805975)	(56, 0.6049210157887405)	(58, 0.6188515293070773)	(60, 0.6322377063218201)	(62, 0.6475058529536402)	(64, 0.6613463469985145)	(66, 0.6767762473717127)	(68, 0.6928222185164206)	(70, 0.7071690720995218)	(72, 0.7198744768462038)	(74, 0.7316192050245269)	(76, 0.7435636639095953)	(78, 0.7555446932057577)	(80, 0.7667253931206668)	(82, 0.7778160735621134)	(84, 0.7916171840873477)	(86, 0.80712303839128)	(88, 0.8207595820665905)	(90, 0.8359405223334938)	(92, 0.851160846120037)	(94, 0.864773478372709)	(96, 0.8764084953177496)	(98, 0.8874541660224649)	(100, 0.8988978915863974)	(102, 0.9108634487855585)	(104, 0.9226827243403429)	(106, 0.9337058901766925)	(108, 0.9455420443827511)	(110, 0.9560124343898694)	(112, 0.9661747890112329)	(114, 0.976005196824203)	(116, 0.986171771108385)	(118, 0.996913626090164)	(120, 1.007865057658598)	(122, 1.0177573538595737)	(124, 1.028082868776588)	(126, 1.0395758237400705)	(128, 1.0503275246017596)	(130, 1.0626095565123126)	(132, 1.0751335157577961)	(134, 1.0880569364167703)	(136, 1.100265827505135)	(138, 1.1113776062606742)
SRR36750775_2 - polyg	(1, 0.4657382508271102)	(2, 0.47565445845072435)	(3, 0.47602578877875756)	(4, 0.4764196239751564)	(5, 0.47672343969809267)	(6, 0.4770581996150317)	(7, 0.4775111100908904)	(8, 0.47828190183241387)	(9, 0.47918209656703986)	(10, 0.48061959503389573)	(12, 0.48266472494662405)	(14, 0.4839531286605575)	(16, 0.48468734999098684)	(18, 0.485240125820218)	(20, 0.48583369172336205)	(22, 0.48648211324314733)	(24, 0.4870362956266514)	(26, 0.48759329111870126)	(28, 0.4882037356731195)	(30, 0.4888071474561735)	(32, 0.48941337234777316)	(34, 0.4899928727081886)	(36, 0.4905737796228769)	(38, 0.4911434341033824)	(40, 0.49180029494880484)	(42, 0.4924515295771358)	(44, 0.4930169643948227)	(46, 0.4936034975266025)	(48, 0.49416330612719794)	(50, 0.49473718027052205)	(52, 0.49536450347621447)	(54, 0.49602699053872834)	(56, 0.4966866644926964)	(58, 0.49732242702402596)	(60, 0.49793146502417135)	(62, 0.4986361487148707)	(64, 0.4992733178004732)	(66, 0.5000131653479939)	(68, 0.5007994291865188)	(70, 0.5014520703691226)	(72, 0.5021440950713663)	(74, 0.5029627096581668)	(76, 0.503774291473603)	(78, 0.5046055650488592)	(80, 0.5056281300052234)	(82, 0.5066506949615875)	(84, 0.5076929516777717)	(86, 0.5086733200059503)	(88, 0.5097985634242328)	(90, 0.5110757147039833)	(92, 0.5123359873324597)	(94, 0.5137636399194057)	(96, 0.5149732765940591)	(98, 0.5163896767468223)	(100, 0.5178834373845922)	(102, 0.5194025159992736)	(104, 0.5209314404938649)	(106, 0.5226474367067455)	(108, 0.5245772291691)	(110, 0.5266476770587398)	(112, 0.5287096856227423)	(114, 0.5309010971798475)	(116, 0.5331501774621394)	(118, 0.5355835163541753)	(120, 0.5380407666688496)	(122, 0.540746977089819)	(124, 0.5434616268364254)	(126, 0.54631833856459)	(128, 0.5494043186392297)	(130, 0.5526970621919787)	(132, 0.5559138518139937)	(134, 0.5592164412466527)	(136, 0.5629002068872548)	(138, 0.5666641461214097)
SRR36750776_1 - illumina_universal_adapter	(1, 8.260562760237992e-05)	(2, 9.96964471063206e-05)	(3, 0.00011393879669293782)	(4, 0.00011678726661026127)	(5, 0.00011678726661026127)	(6, 0.00012248420644490817)	(7, 0.0001253326763622316)	(8, 0.00012818114627955504)	(9, 0.00013387808611420193)	(10, 0.00014669620074215744)	(12, 0.00017802936983271535)	(14, 0.00019654442429531773)	(16, 0.00022787759338587565)	(18, 0.0002990893413189618)	(20, 0.0003987857884252824)	(22, 0.0005312396395808225)	(24, 0.0006893297199922738)	(26, 0.0008744802646182977)	(28, 0.001052509634451013)	(30, 0.0013117203969274468)	(32, 0.0016165066780810553)	(34, 0.0019312626039452961)	(36, 0.0022218065355122875)	(38, 0.002536562461376528)	(40, 0.002866984971786048)	(42, 0.0032444072358314043)	(44, 0.003643193024256687)	(46, 0.004098948211028438)	(48, 0.004520521758792308)	(50, 0.004986246590274692)	(52, 0.005461941066467707)	(54, 0.005892060023983547)	(56, 0.006434693543233663)	(58, 0.0069459938933932215)	(60, 0.007508566702064602)	(62, 0.00814235125866907)	(64, 0.008754772290893609)	(66, 0.009368617558076813)	(68, 0.010072189627655704)	(70, 0.010778610167151918)	(72, 0.011547697044829247)	(74, 0.012420753074488883)	(76, 0.01328383945943789)	(78, 0.01412841078992429)	(80, 0.015101163266690247)	(82, 0.01623627852874364)	(84, 0.01753375657608447)	(86, 0.01905341527697653)	(88, 0.020558831628281968)	(90, 0.022359064616030384)	(92, 0.02461932549542654)	(94, 0.02730115992258656)	(96, 0.030424507186931724)	(98, 0.03389679201614901)	(100, 0.03786755908089788)	(102, 0.04323265217017659)	(104, 0.050301130270014725)	(106, 0.05826545215885108)	(108, 0.06728655638701442)	(110, 0.07773901674863282)	(112, 0.09103709855765732)	(114, 0.1078074651958991)	(116, 0.1280259046690609)	(118, 0.15004030442509517)	(120, 0.17418963238416335)	(122, 0.20481495670026637)	(124, 0.24424917423569215)	(126, 0.28895021264824894)	(128, 0.3368685978324226)	(130, 0.3899740467360423)	(132, 0.4513998762681637)	(134, 0.5251567320723785)	(136, 0.6110352516097629)	(138, 0.7029041033832787)
SRR36750776_1 - polya	(1, 0.002384169320799724)	(2, 0.005668455135473657)	(3, 0.007334810037107872)	(4, 0.009867099793608416)	(5, 0.01262441867357751)	(6, 0.01497155788545203)	(7, 0.01783427015236209)	(8, 0.023841693207997238)	(9, 0.033304310273345725)	(10, 0.041798447566804245)	(12, 0.048310049797805635)	(14, 0.05833808814174282)	(16, 0.06956390808591453)	(18, 0.07765783535598911)	(20, 0.08657212196225282)	(22, 0.09535110624744367)	(24, 0.10491911669973314)	(26, 0.11567778757746378)	(28, 0.12624561097073375)	(30, 0.13478105107799349)	(32, 0.14291058422203456)	(34, 0.15103726889615837)	(36, 0.15826668554632528)	(38, 0.16534798176079135)	(40, 0.1734404847959073)	(42, 0.18160419957895627)	(44, 0.19123202789950952)	(46, 0.1996164991011511)	(48, 0.20784288022238118)	(50, 0.21610201874766052)	(52, 0.22414894626409926)	(54, 0.23248214500722897)	(56, 0.23953922922739784)	(58, 0.24667464637029307)	(60, 0.2538129119831056)	(62, 0.2624694120618516)	(64, 0.2712882749258849)	(66, 0.28224349022791095)	(68, 0.2932172205843995)	(70, 0.3025445353286751)	(72, 0.3102895250338776)	(74, 0.3170802773167767)	(76, 0.32442505699859514)	(78, 0.33179262443975227)	(80, 0.33806353096273983)	(82, 0.34483576819117634)	(84, 0.35434396077520197)	(86, 0.36533620618615315)	(88, 0.3748102171311709)	(90, 0.3854250402780768)	(92, 0.3966195270531579)	(94, 0.40760892399419174)	(96, 0.41585809287476044)	(98, 0.4231572970379018)	(100, 0.4308211053504605)	(102, 0.4393793332170588)	(104, 0.4478207738170468)	(106, 0.4554005522670445)	(108, 0.4649543203697474)	(110, 0.47354245717047755)	(112, 0.48112223562047524)	(114, 0.4885353785803095)	(116, 0.4961564598441084)	(118, 0.5044796889425275)	(120, 0.5130991589123483)	(122, 0.5202160610007809)	(124, 0.5293753160199344)	(126, 0.5391014165526353)	(128, 0.5484743068155882)	(130, 0.5597214902841396)	(132, 0.57117233935178)	(134, 0.5837070312229617)	(136, 0.5955125147953089)	(138, 0.6054935533856102)
SRR36750776_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00016805972512208328)	(4, 0.00026775617222840386)	(5, 0.00037314955916937137)	(6, 0.0005041791753662498)	(7, 0.0006921781899095973)	(8, 0.001150781846598672)	(9, 0.0018486569763429162)	(10, 0.002419775194766267)	(12, 0.003082044450543968)	(14, 0.0038141012192960937)	(16, 0.004412279901934017)	(18, 0.004977701180522721)	(20, 0.005571607158284659)	(22, 0.00610996797265879)	(24, 0.006611298678107717)	(26, 0.007007235996615676)	(28, 0.007501445527271293)	(30, 0.008113866559495834)	(32, 0.008898620021718444)	(34, 0.009667706899395775)	(36, 0.010671792545252287)	(38, 0.01148360647168947)	(40, 0.012202845125813641)	(42, 0.013034598341672088)	(44, 0.013958926829843545)	(46, 0.014820588979833887)	(48, 0.015713584298914788)	(50, 0.016636488552127585)	(52, 0.01762490761343882)	(54, 0.01868311418772448)	(56, 0.01978119934085267)	(58, 0.020859345204559593)	(60, 0.022030066340579527)	(62, 0.023186545127012848)	(64, 0.024303145334603638)	(66, 0.025557896333184615)	(68, 0.027714188060598464)	(70, 0.04946795281919762)	(72, 0.057789757682658066)	(74, 0.06001013998321169)	(76, 0.06159388925724352)	(78, 0.06314772959714346)	(80, 0.06466311559315954)	(82, 0.06620983475826617)	(84, 0.06776509933312477)	(86, 0.06930612155839674)	(88, 0.07098102186978295)	(90, 0.07267443723563173)	(92, 0.07444760975916558)	(94, 0.07633614531435101)	(96, 0.07842549799870777)	(98, 0.08030833661405856)	(100, 0.08224102345296253)	(102, 0.08426486132922081)	(104, 0.08644821352084925)	(106, 0.08878538308801313)	(108, 0.09143873281599993)	(110, 0.0939510832830792)	(112, 0.09642213093635729)	(114, 0.09912960159277323)	(116, 0.10172170921753756)	(118, 0.10450039162188658)	(120, 0.10731183143028483)	(122, 0.1105832991303308)	(124, 0.1135157989102153)	(126, 0.11676875155579866)	(128, 0.12011143100377772)	(130, 0.12401810749538683)	(132, 0.12759578571154506)	(134, 0.13128455425447894)	(136, 0.1350673223046845)	(138, 0.13865212169563604)
SRR36750776_2 - illumina_universal_adapter	(1, 8.83025674370268e-05)	(2, 9.96964471063206e-05)	(3, 0.00011393879669293782)	(4, 0.00011678726661026127)	(5, 0.00011678726661026127)	(6, 0.0001196357365275847)	(7, 0.00012248420644490817)	(8, 0.0001253326763622316)	(9, 0.0001310296161968785)	(10, 0.000143847730824834)	(12, 0.00017375666495673018)	(14, 0.0001936959543779943)	(16, 0.00022787759338587562)	(18, 0.0003204528656988876)	(20, 0.00042442201768119335)	(22, 0.0005568758688367335)	(24, 0.0007619657028840217)	(26, 0.0009926917661872208)	(28, 0.0012547509985809777)	(30, 0.001578052334197189)	(32, 0.001966868477911839)	(34, 0.0023556846216264892)	(36, 0.0027601673498864185)	(38, 0.0031988317171542293)	(40, 0.0036731019583885827)	(42, 0.004194371953258774)	(44, 0.00474555088226086)	(46, 0.00538218390878265)	(48, 0.005990332236131206)	(50, 0.006639783377280951)	(52, 0.007293507223306682)	(54, 0.007900231315696577)	(56, 0.008618045734862084)	(58, 0.009287436165433094)	(60, 0.01004512916344113)	(62, 0.010895397433762178)	(64, 0.01169012054069542)	(66, 0.01256744927523104)	(68, 0.013486080823567854)	(70, 0.014406136606863327)	(72, 0.015397404138091885)	(74, 0.01654391327981457)	(76, 0.01761636220368685)	(78, 0.018646084078799273)	(80, 0.01982962332944717)	(82, 0.02118691924505179)	(84, 0.022730789940241095)	(86, 0.024466932354849737)	(88, 0.026221589823920977)	(90, 0.028328033327781665)	(92, 0.030883110843620797)	(94, 0.03379567133408402)	(96, 0.03716968395115364)	(98, 0.040832816264831595)	(100, 0.045018642808338394)	(102, 0.05056746220728447)	(104, 0.057907969184226984)	(106, 0.06611298678107716)	(108, 0.07534487778312246)	(110, 0.08595827669506961)	(112, 0.09951556926657056)	(114, 0.11646681374456239)	(116, 0.13688464611193685)	(118, 0.15909701452722508)	(120, 0.18338022057240744)	(122, 0.21414369567950065)	(124, 0.2537217609457513)	(126, 0.29825189116326867)	(128, 0.3461389431783518)	(130, 0.39904642342271746)	(132, 0.46004783093715773)	(134, 0.5333774162537739)	(136, 0.6183287588330696)	(138, 0.7090254652356067)
SRR36750776_2 - polya	(1, 0.004167311489044201)	(2, 0.008303289808997843)	(3, 0.014874709908263032)	(4, 0.025516593519383426)	(5, 0.035964781176125823)	(6, 0.04521661146759237)	(7, 0.054875772957236175)	(8, 0.07051956974317654)	(9, 0.0893707436560231)	(10, 0.11159308171602196)	(12, 0.13355478477858573)	(14, 0.15972082943911892)	(16, 0.18682829340732748)	(18, 0.21046347254631875)	(20, 0.2335204122920934)	(22, 0.25571568988787763)	(24, 0.27732418268069337)	(26, 0.29889991806945976)	(28, 0.3198375961967458)	(30, 0.338302802435795)	(32, 0.35634501089212167)	(34, 0.3739912820299405)	(36, 0.38983447171009344)	(38, 0.4051350278709963)	(40, 0.4205452501237162)	(42, 0.43634428852015067)	(44, 0.45262756680253013)	(46, 0.4676162155074861)	(48, 0.4819952916501349)	(50, 0.49590579449138394)	(52, 0.5091753916012351)	(54, 0.5229733798807499)	(56, 0.5352787699235872)	(58, 0.5481623993596412)	(60, 0.5601330941871929)	(62, 0.5739552944610049)	(64, 0.5868474693068109)	(66, 0.602189328281515)	(68, 0.6181550021681128)	(70, 0.6317963246021749)	(72, 0.6434793239680769)	(74, 0.6542679037799395)	(76, 0.6658084796499755)	(78, 0.6774914790158776)	(80, 0.687565092878492)	(82, 0.6981514313262245)	(84, 0.7112230597768219)	(86, 0.7257887106990553)	(88, 0.7382222818881721)	(90, 0.7521869056578503)	(92, 0.7667625262247943)	(94, 0.7807556346936457)	(96, 0.7921965141165754)	(98, 0.8023413397271228)	(100, 0.8131811919974972)	(102, 0.8246177987155509)	(104, 0.835500378034685)	(106, 0.8457164153931656)	(108, 0.8576486558768335)	(110, 0.8682663274936566)	(112, 0.8781376999921411)	(114, 0.8876572864558361)	(116, 0.8975642648282869)	(118, 0.907899937923295)	(120, 0.9188779409846597)	(122, 0.9284715876662051)	(124, 0.9392017738447624)	(126, 0.950681107611576)	(128, 0.9616505652631886)	(130, 0.974165317844949)	(132, 0.9871529164329853)	(134, 1.0011773580709273)	(136, 1.0146862266538337)	(138, 1.0261057425523834)
