Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750779_1	(1, 0.03246214188018916)	(2, 0.0011579927767324742)	(3, 0.00043328868798268074)	(4, 0.0007323729150857701)	(5, 0.0)	(6, 0.0012346810400922406)	(7, 3.834413167988325e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.13506106878132e-05)	(20, 0.0001311369303452007)	(25, 0.0043681634809723)	(30, 0.0028466683359145324)	(35, 4.141166221427391e-05)	(40, 1.5337652671953302e-06)	(45, 0.0)	(50, 0.0)	(55, 0.00018942001049862325)	(60, 4.60129580158599e-06)	(65, 1.5337652671953302e-06)	(70, 1.5337652671953302e-06)	(75, 1.5337652671953302e-06)	(80, 9.355968129891513e-05)	(85, 0.04312564490036469)	(90, 1.5337652671953302e-06)	(95, 3.0675305343906604e-06)	(100, 3.0675305343906604e-06)	(105, 0.0008681111412325569)	(110, 9.969474236769645e-06)	(115, 5.061425381744589e-05)	(120, 7.668826335976651e-07)	(125, 1.5337652671953302e-06)	(130, 0.0005851314494350184)	(135, 7.668826335976651e-07)	(140, 8.435708969574315e-06)	(145, 1.53376526719533e-05)	(150, 0.0)
SRR36750779_2	(1, 0.0)	(2, 0.0)	(3, 0.004378899837842667)	(4, 0.0007630482204296766)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 9.969474236769645e-06)	(20, 4.60129580158599e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0002714764522935734)	(40, 0.00010659668607007543)	(45, 0.0)	(50, 6.901943702378985e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.5337652671953302e-06)	(75, 0.00021319337214015087)	(80, 5.368178435183655e-06)	(85, 9.969474236769645e-06)	(90, 3.834413167988325e-06)	(95, 9.20259160317198e-06)	(100, 0.00014800834828434934)	(105, 6.901943702378985e-05)	(110, 4.6779840649457564e-05)	(115, 0.00021472713740734617)	(120, 0.00011886680820763807)	(125, 0.001886531278650256)	(130, 0.000643414529588441)	(135, 0.001009217545814527)	(140, 0.0010283896116544686)	(145, 0.0011418882414269231)	(150, 0.0010928077528766726)
SRR36750780_1	(1, 0.03273586492050869)	(2, 0.0010760983371352068)	(3, 0.00043929330851405593)	(4, 0.0006844802714056222)	(5, 0.0)	(6, 0.0011646380737349391)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.74264147951807e-05)	(20, 0.00011986918185809901)	(25, 0.004104157328846049)	(30, 0.0026902458428380177)	(35, 4.2907718506024074e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0001437068032503346)	(60, 6.810748969210171e-07)	(65, 6.810748969210171e-07)	(70, 1.3621497938420341e-06)	(75, 6.810748969210171e-07)	(80, 8.990188639357425e-05)	(85, 0.0436378307955234)	(90, 6.810748969210171e-07)	(95, 1.3621497938420341e-06)	(100, 6.810748969210171e-07)	(105, 0.0008268249248621147)	(110, 6.81074896921017e-06)	(115, 4.358879340294509e-05)	(120, 3.405374484605085e-06)	(125, 2.7242995876840682e-06)	(130, 0.0005496274418152608)	(135, 6.81074896921017e-06)	(140, 1.0216123453815255e-05)	(145, 1.9070097113788476e-05)	(150, 0.0)
SRR36750780_2	(1, 0.0)	(2, 0.0)	(3, 0.0040013150194109755)	(4, 0.000759398510066934)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.81074896921017e-06)	(20, 2.7242995876840682e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0002118142929424363)	(40, 9.466941067202137e-05)	(45, 0.0)	(50, 5.039954237215526e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 6.810748969210171e-07)	(75, 0.00020568461887014714)	(80, 5.4485991753681365e-06)	(85, 1.0897198350736273e-05)	(90, 4.767524278447119e-06)	(95, 1.7026872423025426e-05)	(100, 0.00016686334974564917)	(105, 7.559931355823289e-05)	(110, 5.108061726907628e-05)	(115, 0.00021249536783935733)	(120, 0.00011850703206425695)	(125, 0.0018218753492637205)	(130, 0.0006654101742918336)	(135, 0.0010216123453815255)	(140, 0.001080865861413654)	(145, 0.0011523787255903607)	(150, 0.0011067467074966527)
SRR36750781_1	(1, 0.032140096440015815)	(2, 0.0012575640540427055)	(3, 0.00040862025285421245)	(4, 0.0008418986244151447)	(5, 0.0)	(6, 0.0012082478166292661)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.411110863747126e-05)	(20, 0.0001246996288882683)	(25, 0.00422499251097709)	(30, 0.002759595742120604)	(35, 4.3680095994760645e-05)	(40, 2.8180707093393965e-06)	(45, 0.0)	(50, 0.0)	(55, 0.00016908424256036379)	(60, 2.1135530320045476e-06)	(65, 1.4090353546696982e-06)	(70, 1.4090353546696982e-06)	(75, 0.0)	(80, 9.299633340820008e-05)	(85, 0.04171308263964174)	(90, 7.045176773348491e-07)	(95, 3.522588386674245e-06)	(100, 3.522588386674245e-06)	(105, 0.0008327398946097916)	(110, 1.0567765160022737e-05)	(115, 6.481562631480612e-05)	(120, 2.1135530320045476e-06)	(125, 1.4090353546696982e-06)	(130, 0.0005798180484465808)	(135, 7.04517677334849e-06)	(140, 9.863247482687887e-06)	(145, 2.5362636384054566e-05)	(150, 0.0)
SRR36750781_2	(1, 0.0)	(2, 0.0)	(3, 0.00405802182144873)	(4, 0.0007115628541081976)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 4.227106064009095e-06)	(20, 5.636141418678793e-06)	(25, 0.0)	(30, 0.0)	(35, 0.000247285704744532)	(40, 7.961049753883795e-05)	(45, 0.0)	(50, 6.622466166947581e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 7.045176773348491e-07)	(75, 0.00021487789158712898)	(80, 4.227106064009095e-06)	(85, 9.158729805353038e-06)	(90, 7.04517677334849e-06)	(95, 1.9021977288040925e-05)	(100, 0.00018599266681640017)	(105, 9.299633340820008e-05)	(110, 5.142979044544399e-05)	(115, 0.0002557399168725502)	(120, 0.00013738094708029555)	(125, 0.0018310414433932727)	(130, 0.0006411110863747127)	(135, 0.0009806886068501098)	(140, 0.0009961879957514767)	(145, 0.0011222966599944146)	(150, 0.001049731339228925)
SRR36750783_1	(1, 0.0328396079609598)	(2, 0.0012027880727342418)	(3, 0.0003867886955888122)	(4, 0.0008209901990239949)	(5, 0.0)	(6, 0.0013200723868805268)	(7, 2.4954109392826594e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.537976660920567e-05)	(20, 0.00011977972508556764)	(25, 0.004112437227937822)	(30, 0.0026905520747345633)	(35, 4.54164790949444e-05)	(40, 4.990821878565319e-07)	(45, 0.0)	(50, 0.0)	(55, 0.00018066775200406454)	(60, 1.9963287514261275e-06)	(65, 9.981643757130638e-07)	(70, 1.4972465635695956e-06)	(75, 9.981643757130638e-07)	(80, 9.931735538344983e-05)	(85, 0.04331783849500768)	(90, 0.0)	(95, 2.9944931271391913e-06)	(100, 2.4954109392826594e-06)	(105, 0.0009103259106503141)	(110, 8.983479381417573e-06)	(115, 5.939078035492729e-05)	(120, 0.0)	(125, 2.4954109392826594e-06)	(130, 0.0005784362557257204)	(135, 4.4917396907087865e-06)	(140, 8.484397193561041e-06)	(145, 2.19596162656874e-05)	(150, 0.0)
SRR36750783_2	(1, 0.0)	(2, 0.0)	(3, 0.004389427842198197)	(4, 0.0008010269115097336)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 8.983479381417573e-06)	(20, 3.992657502852255e-06)	(25, 0.0)	(30, 0.0)	(35, 0.00026850621706681413)	(40, 0.00011279257445557618)	(45, 0.0)	(50, 6.73760953606318e-05)	(55, 4.990821878565319e-07)	(60, 0.0)	(65, 0.0)	(70, 4.990821878565319e-07)	(75, 0.00022358882015972628)	(80, 4.990821878565319e-06)	(85, 9.482561569274104e-06)	(90, 3.493575314995723e-06)	(95, 1.4473383447839424e-05)	(100, 0.0001661943685562251)	(105, 7.136875286348405e-05)	(110, 5.739445160350116e-05)	(115, 0.00022159249140830015)	(120, 0.00012976136884269827)	(125, 0.001858082985389868)	(130, 0.0006527995017163436)	(135, 0.0010036542797794855)	(140, 0.0010226194029180336)	(145, 0.0011214376761136272)	(150, 0.0010430817726201516)
SRR36750784_1	(1, 0.003564272864234678)	(2, 0.01650651986111386)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00018209658509989337)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00011193584201728739)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 5.355781914702746e-07)	(75, 0.0)	(80, 0.0)	(85, 1.3389454786756865e-05)	(90, 0.0)	(95, 9.104829254994668e-06)	(100, 0.0)	(105, 4.8737615423794985e-05)	(110, 0.0)	(115, 4.820203723232471e-06)	(120, 0.0)	(125, 5.9449179253200485e-05)	(130, 0.0)	(135, 1.1782720212346042e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750784_2	(1, 0.0)	(2, 0.013290372821334865)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.0711563829405492e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.002862665433408618)	(130, 0.0)	(135, 5.355781914702746e-07)	(140, 0.0)	(145, 0.0)	(150, 0.0)
