Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
SRR36750779_1_paired	(13.0, 5.0)	(14.0, 53.0)	(15.0, 268.0)	(16.0, 619.0)	(17.0, 1155.0)	(18.0, 2098.0)	(19.0, 3473.0)	(20.0, 5199.0)	(21.0, 7782.0)	(22.0, 10844.0)	(23.0, 15818.0)	(24.0, 23723.0)	(25.0, 35575.0)	(26.0, 54341.0)	(27.0, 83422.0)	(28.0, 123811.0)	(29.0, 177222.0)	(30.0, 243600.0)	(31.0, 331588.0)	(32.0, 453031.0)	(33.0, 654686.0)	(34.0, 1126189.0)	(35.0, 2993992.0)	(36.0, 17737231.0)	(37.0, 1662552.0)		
SRR36750779_2_paired	(11.0, 92.0)	(12.0, 2270.0)	(13.0, 9111.0)	(14.0, 14383.0)	(15.0, 15520.0)	(16.0, 15162.0)	(17.0, 14800.0)	(18.0, 16156.0)	(19.0, 20462.0)	(20.0, 30573.0)	(21.0, 44972.0)	(22.0, 58512.0)	(23.0, 69196.0)	(24.0, 75442.0)	(25.0, 83146.0)	(26.0, 95935.0)	(27.0, 116721.0)	(28.0, 147961.0)	(29.0, 192727.0)	(30.0, 258262.0)	(31.0, 359556.0)	(32.0, 538061.0)	(33.0, 894631.0)	(34.0, 1809813.0)	(35.0, 5004291.0)	(36.0, 15074996.0)	(37.0, 785526.0)
SRR36750780_1_paired	(13.0, 5.0)	(14.0, 48.0)	(15.0, 269.0)	(16.0, 641.0)	(17.0, 1246.0)	(18.0, 2036.0)	(19.0, 3417.0)	(20.0, 5612.0)	(21.0, 8787.0)	(22.0, 11963.0)	(23.0, 16558.0)	(24.0, 24218.0)	(25.0, 37067.0)	(26.0, 57617.0)	(27.0, 88575.0)	(28.0, 133757.0)	(29.0, 194374.0)	(30.0, 268618.0)	(31.0, 364522.0)	(32.0, 502085.0)	(33.0, 731653.0)	(34.0, 1273650.0)	(35.0, 3455836.0)	(36.0, 19991083.0)	(37.0, 1742676.0)		
SRR36750780_2_paired	(11.0, 230.0)	(12.0, 4756.0)	(13.0, 17155.0)	(14.0, 23131.0)	(15.0, 23178.0)	(16.0, 21261.0)	(17.0, 20518.0)	(18.0, 22978.0)	(19.0, 29053.0)	(20.0, 43022.0)	(21.0, 62556.0)	(22.0, 84600.0)	(23.0, 100922.0)	(24.0, 117783.0)	(25.0, 134160.0)	(26.0, 160789.0)	(27.0, 197638.0)	(28.0, 249565.0)	(29.0, 325135.0)	(30.0, 434557.0)	(31.0, 608961.0)	(32.0, 929279.0)	(33.0, 1581537.0)	(34.0, 3182632.0)	(35.0, 7540199.0)	(36.0, 12671707.0)	(37.0, 329011.0)
SRR36750781_1_paired	(12.0, 1.0)	(13.0, 7.0)	(14.0, 95.0)	(15.0, 350.0)	(16.0, 854.0)	(17.0, 1400.0)	(18.0, 2478.0)	(19.0, 3861.0)	(20.0, 6254.0)	(21.0, 9430.0)	(22.0, 12656.0)	(23.0, 18070.0)	(24.0, 26606.0)	(25.0, 39859.0)	(26.0, 59893.0)	(27.0, 88982.0)	(28.0, 130728.0)	(29.0, 188340.0)	(30.0, 257614.0)	(31.0, 350588.0)	(32.0, 482416.0)	(33.0, 706624.0)	(34.0, 1233384.0)	(35.0, 3341509.0)	(36.0, 19433140.0)	(37.0, 1699083.0)	
SRR36750781_2_paired	(11.0, 102.0)	(12.0, 2911.0)	(13.0, 11799.0)	(14.0, 17718.0)	(15.0, 18694.0)	(16.0, 17985.0)	(17.0, 17671.0)	(18.0, 18979.0)	(19.0, 24193.0)	(20.0, 34696.0)	(21.0, 50293.0)	(22.0, 68303.0)	(23.0, 81260.0)	(24.0, 93071.0)	(25.0, 106906.0)	(26.0, 126093.0)	(27.0, 156374.0)	(28.0, 199866.0)	(29.0, 262326.0)	(30.0, 351681.0)	(31.0, 495130.0)	(32.0, 749130.0)	(33.0, 1266460.0)	(34.0, 2575434.0)	(35.0, 6595233.0)	(36.0, 14238458.0)	(37.0, 513456.0)
SRR36750783_1_paired	(13.0, 9.0)	(14.0, 116.0)	(15.0, 517.0)	(16.0, 1230.0)	(17.0, 2178.0)	(18.0, 3597.0)	(19.0, 5768.0)	(20.0, 9787.0)	(21.0, 15258.0)	(22.0, 20642.0)	(23.0, 28509.0)	(24.0, 41572.0)	(25.0, 60550.0)	(26.0, 91506.0)	(27.0, 135946.0)	(28.0, 197921.0)	(29.0, 280174.0)	(30.0, 383403.0)	(31.0, 516092.0)	(32.0, 704548.0)	(33.0, 1026380.0)	(34.0, 1779692.0)	(35.0, 4779803.0)	(36.0, 27272819.0)	(37.0, 2415090.0)		
SRR36750783_2_paired	(11.0, 282.0)	(12.0, 5590.0)	(13.0, 19448.0)	(14.0, 28399.0)	(15.0, 29154.0)	(16.0, 28467.0)	(17.0, 28127.0)	(18.0, 31357.0)	(19.0, 40709.0)	(20.0, 59436.0)	(21.0, 86983.0)	(22.0, 117603.0)	(23.0, 144255.0)	(24.0, 167238.0)	(25.0, 193235.0)	(26.0, 230914.0)	(27.0, 283129.0)	(28.0, 355843.0)	(29.0, 461716.0)	(30.0, 613635.0)	(31.0, 858321.0)	(32.0, 1299961.0)	(33.0, 2195326.0)	(34.0, 4397451.0)	(35.0, 10370611.0)	(36.0, 17288122.0)	(37.0, 437795.0)
SRR36750784_1_paired	(13.0, 5.0)	(14.0, 113.0)	(15.0, 590.0)	(16.0, 1306.0)	(17.0, 2061.0)	(18.0, 3117.0)	(19.0, 4746.0)	(20.0, 7799.0)	(21.0, 13482.0)	(22.0, 22142.0)	(23.0, 33098.0)	(24.0, 47161.0)	(25.0, 63422.0)	(26.0, 86211.0)	(27.0, 120867.0)	(28.0, 167223.0)	(29.0, 228340.0)	(30.0, 300436.0)	(31.0, 388518.0)	(32.0, 500013.0)	(33.0, 677082.0)	(34.0, 1065889.0)	(35.0, 2394122.0)	(36.0, 25842830.0)	(37.0, 4937577.0)		
SRR36750784_2_paired	(11.0, 46.0)	(12.0, 3067.0)	(13.0, 14843.0)	(14.0, 23849.0)	(15.0, 25607.0)	(16.0, 25480.0)	(17.0, 25743.0)	(18.0, 29021.0)	(19.0, 36852.0)	(20.0, 53014.0)	(21.0, 76222.0)	(22.0, 98715.0)	(23.0, 113936.0)	(24.0, 125217.0)	(25.0, 137798.0)	(26.0, 154947.0)	(27.0, 180762.0)	(28.0, 215555.0)	(29.0, 264535.0)	(30.0, 332612.0)	(31.0, 439022.0)	(32.0, 618777.0)	(33.0, 975204.0)	(34.0, 1968396.0)	(35.0, 6423140.0)	(36.0, 23545711.0)	(37.0, 1000079.0)
