Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750779_1_paired	(1, 0.0)	(2, 0.001161242750340149)	(3, 0.0004349805620003234)	(4, 0.0007379134533934057)	(5, 0.0)	(6, 0.0012505691157509297)	(7, 3.88375501786003e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.214008028576049e-05)	(20, 0.000132047670607241)	(25, 0.004360680134053242)	(30, 0.002843685424077114)	(35, 4.194455419288833e-05)	(40, 1.5535020071440121e-06)	(45, 0.0)	(50, 0.0)	(55, 0.00019030399587514148)	(60, 4.660506021432036e-06)	(65, 1.5535020071440121e-06)	(70, 1.5535020071440121e-06)	(75, 1.5535020071440121e-06)	(80, 9.321012042864072e-05)	(85, 0.04309880618419632)	(90, 1.5535020071440121e-06)	(95, 3.1070040142880243e-06)	(100, 3.1070040142880243e-06)	(105, 0.0008699611240006468)	(110, 9.321012042864072e-06)	(115, 5.0488815232180396e-05)	(120, 7.767510035720061e-07)	(125, 1.5535020071440121e-06)	(130, 0.0005887772607075805)	(135, 7.767510035720061e-07)	(140, 8.544261039292067e-06)	(145, 1.553502007144012e-05)	(150, 0.0)
SRR36750779_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.004411945700288994)	(4, 0.0007612159835005659)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 1.0097763046436078e-05)	(20, 4.660506021432036e-06)	(25, 0.0)	(30, 0.0)	(35, 0.00027341635325734613)	(40, 0.00010641488748936484)	(45, 0.0)	(50, 6.913083931790853e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 1.5535020071440121e-06)	(75, 0.00021360652598230166)	(80, 4.660506021432036e-06)	(85, 9.321012042864072e-06)	(90, 3.88375501786003e-06)	(95, 9.321012042864072e-06)	(100, 0.00014835944168225314)	(105, 6.913083931790853e-05)	(110, 4.7381811217892366e-05)	(115, 0.0002151600279894457)	(120, 0.00012039640555366093)	(125, 0.0018882816896835465)	(130, 0.000641596328950477)	(135, 0.0010012321291522025)	(140, 0.0010043392816550673)	(145, 0.0008808379369349399)	(150, 0.0)
SRR36750780_1_paired	(1, 0.0)	(2, 0.0010824339880399)	(3, 0.00043574019965823444)	(4, 0.0006847345994629398)	(5, 0.0)	(6, 0.0011481408435439194)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.778180883572536e-05)	(20, 0.0001217305954600782)	(25, 0.004083508156797169)	(30, 0.0026773814490111516)	(35, 4.288236885525482e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.00014386343099827425)	(60, 6.916511105686261e-07)	(65, 6.916511105686261e-07)	(70, 1.3833022211372522e-06)	(75, 6.916511105686261e-07)	(80, 8.922299326335277e-05)	(85, 0.04362935205466893)	(90, 6.916511105686261e-07)	(95, 1.3833022211372522e-06)	(100, 6.916511105686261e-07)	(105, 0.0008292896815717826)	(110, 6.916511105686261e-06)	(115, 4.288236885525482e-05)	(120, 3.4582555528431304e-06)	(125, 2.7666044422745045e-06)	(130, 0.0005505542840126263)	(135, 6.224859995117635e-06)	(140, 9.683115547960765e-06)	(145, 1.8674579985352904e-05)	(150, 0.0)
SRR36750780_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.004018492952403718)	(4, 0.0007608162216254887)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.916511105686261e-06)	(20, 2.7666044422745045e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0002130285420551368)	(40, 9.613950436903903e-05)	(45, 0.0)	(50, 5.118218218207833e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 6.916511105686261e-07)	(75, 0.0002047287287283133)	(80, 5.533208884549009e-06)	(85, 1.0374766658529392e-05)	(90, 4.841557773980383e-06)	(95, 1.729127776421565e-05)	(100, 0.00016599626653647026)	(105, 7.538997105198025e-05)	(110, 5.118218218207833e-05)	(115, 0.00021095358872343098)	(120, 0.00011758068879666644)	(125, 0.0018259589319011727)	(130, 0.0006667516705881556)	(135, 0.0010063525259676647)	(140, 0.0010416270047818358)	(145, 0.0008721745116481534)	(150, 0.0)
SRR36750781_1_paired	(1, 0.0)	(2, 0.001256486120170902)	(3, 0.0004093368380160163)	(4, 0.0008364709298588158)	(5, 0.0)	(6, 0.0012102132602212655)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.407011377641993e-05)	(20, 0.00012529266694055453)	(25, 0.004221508607713002)	(30, 0.0027578624529983426)	(35, 4.413718949042262e-05)	(40, 2.8475606122853306e-06)	(45, 0.0)	(50, 0.0)	(55, 0.0001687179662779058)	(60, 2.1356704592139976e-06)	(65, 1.4237803061426653e-06)	(70, 1.4237803061426653e-06)	(75, 0.0)	(80, 9.325761005234457e-05)	(85, 0.041707508397990166)	(90, 7.118901530713326e-07)	(95, 3.559450765356663e-06)	(100, 3.559450765356663e-06)	(105, 0.000828640138175031)	(110, 1.067835229606999e-05)	(115, 6.478200392949127e-05)	(120, 2.1356704592139976e-06)	(125, 1.4237803061426653e-06)	(130, 0.0005787666944469934)	(135, 7.118901530713326e-06)	(140, 9.966462142998656e-06)	(145, 2.5628045510567973e-05)	(150, 0.0)
SRR36750781_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.004039976618679813)	(4, 0.0007083307023059759)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 4.271340918427995e-06)	(20, 5.695121224570661e-06)	(25, 0.0)	(30, 0.0)	(35, 0.0002470258831157524)	(40, 7.830791683784659e-05)	(45, 0.0)	(50, 6.691767438870526e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 7.118901530713326e-07)	(75, 0.00021356704592139975)	(80, 4.271340918427995e-06)	(85, 9.254571989927324e-06)	(90, 7.118901530713326e-06)	(95, 1.922103413292598e-05)	(100, 0.00018651522010468914)	(105, 9.325761005234457e-05)	(110, 5.1256091021135946e-05)	(115, 0.0002562804551056797)	(120, 0.0001381066896958385)	(125, 0.0018281339130871823)	(130, 0.0006350060346218103)	(135, 0.0009674588626560729)	(140, 0.0009574926375935074)	(145, 0.0008499991784765059)	(150, 0.0)
SRR36750783_1_paired	(1, 0.0)	(2, 0.0011993028354561287)	(3, 0.00038468204156139974)	(4, 0.0008221635790233838)	(5, 0.0)	(6, 0.001319987397514607)	(7, 2.5142617095516325e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 6.587365679025277e-05)	(20, 0.00011917600503274738)	(25, 0.004111320747458829)	(30, 0.0026897571768783363)	(35, 4.575956311383971e-05)	(40, 5.028523419103265e-07)	(45, 0.0)	(50, 0.0)	(55, 0.00018102684308771754)	(60, 2.011409367641306e-06)	(65, 1.005704683820653e-06)	(70, 1.5085570257309794e-06)	(75, 1.005704683820653e-06)	(80, 0.00010006761604015497)	(85, 0.043301620866582034)	(90, 0.0)	(95, 3.0171140514619588e-06)	(100, 2.5142617095516325e-06)	(105, 0.0009096598865157805)	(110, 9.051342154385875e-06)	(115, 5.933657634541852e-05)	(120, 0.0)	(125, 2.5142617095516325e-06)	(130, 0.0005767716361711445)	(135, 4.525671077192938e-06)	(140, 8.54848981247555e-06)	(145, 2.2125503044054365e-05)	(150, 0.0)
SRR36750783_2_paired	(1, 0.0)	(2, 0.0)	(3, 0.00437481537461984)	(4, 0.0008020494853469707)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 9.051342154385875e-06)	(20, 4.022818735282612e-06)	(25, 0.0)	(30, 0.0)	(35, 0.00026852315058011435)	(40, 0.00011314177692982346)	(45, 0.0)	(50, 6.738221381598374e-05)	(55, 5.028523419103265e-07)	(60, 0.0)	(65, 0.0)	(70, 5.028523419103265e-07)	(75, 0.00022276358746627464)	(80, 5.028523419103265e-06)	(85, 9.554194496296203e-06)	(90, 3.519966393372285e-06)	(95, 1.4582717915399468e-05)	(100, 0.0001664441251723181)	(105, 7.190788489317669e-05)	(110, 5.782801931968754e-05)	(115, 0.00022075217809863334)	(120, 0.00013023875655477455)	(125, 0.0018570336986748358)	(130, 0.0006516966351157831)	(135, 0.000982573649024089)	(140, 0.0009705054981474736)	(145, 0.0008427828474401077)	(150, 0.0)
SRR36750784_1_paired	(1, 0.0)	(2, 0.016535643211594186)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.00018153172131358522)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0001116284614644733)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 5.418857352644335e-07)	(75, 0.0)	(80, 0.0)	(85, 1.3005257646346403e-05)	(90, 0.0)	(95, 9.212057499495368e-06)	(100, 0.0)	(105, 4.768594470327014e-05)	(110, 0.0)	(115, 4.876971617379901e-06)	(120, 0.0)	(125, 5.852365940855881e-05)	(130, 0.0)	(135, 1.1921486175817536e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
SRR36750784_2_paired	(1, 0.0)	(2, 0.013276200513978619)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 1.083771470528867e-06)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0028551959391083003)	(130, 0.0)	(135, 5.418857352644335e-07)	(140, 0.0)	(145, 0.0)	(150, 0.0)
