Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR36750779_1_paired	(1, 36.14878249911635)	(2, 36.15131963975686)	(3, 36.316344856784006)	(4, 36.33507271185563)	(5, 36.36632016192773)	(6, 36.341086007424884)	(7, 36.326886183491034)	(8, 36.40175026080386)	(9, 36.384839770055294)	(10, 36.37766409767924)	(15, 36.351700449703884)	(20, 36.31248415573593)	(25, 36.244657543493105)	(30, 36.20353806198372)	(35, 36.17578494281385)	(40, 36.1605372274036)	(45, 36.142012135413964)	(50, 36.10944086860646)	(55, 36.055435181157954)	(60, 36.05320471734866)	(65, 36.03028984813236)	(70, 36.002005765278966)	(75, 35.96480952104096)	(80, 35.890387547096836)	(85, 35.89673096184261)	(90, 35.877378614499136)	(95, 35.829246632697014)	(100, 35.81742027243221)	(105, 35.76709476133102)	(110, 35.74075418716367)	(115, 35.71782876190123)	(120, 35.70331822979845)	(125, 35.67795161594696)	(130, 35.575914854419196)	(135, 35.58506654251079)	(140, 35.57294239144623)	(145, 35.512563679503685)	(150, 35.51189790484893)
SRR36750779_2_paired	(1, 35.863132395227844)	(2, 35.72404596237644)	(3, 35.87520831005508)	(4, 35.88095106324979)	(5, 35.93361579106827)	(6, 35.888581399058275)	(7, 35.88564737749248)	(8, 35.93722333342926)	(9, 35.92460423662523)	(10, 35.947787690803544)	(15, 35.927550165783906)	(20, 35.90012809789175)	(25, 35.840682551302365)	(30, 35.81784285604819)	(35, 35.76310333308904)	(40, 35.747944392551)	(45, 35.72261872901243)	(50, 35.627220400029096)	(55, 35.64480386007965)	(60, 35.61620926324507)	(65, 35.58143960467724)	(70, 35.525504273548094)	(75, 35.40849913957349)	(80, 35.44312617888956)	(85, 35.39307265491978)	(90, 35.36454161961983)	(95, 35.32770542277451)	(100, 35.24164785084455)	(105, 35.263234802080156)	(110, 35.22371880650499)	(115, 35.14551257934657)	(120, 35.11294737119692)	(125, 34.970029163504805)	(130, 34.957770999589606)	(135, 34.944744859021)	(140, 34.89383037216708)	(145, 34.8237586704163)	(150, 34.78786768492585)
SRR36750780_1_paired	(1, 36.17755766442285)	(2, 36.15786334862263)	(3, 36.32347861914484)	(4, 36.340689872875565)	(5, 36.37097845081425)	(6, 36.34254080041256)	(7, 36.32898091122475)	(8, 36.40568889263303)	(9, 36.39212291691545)	(10, 36.38315124753284)	(15, 36.35342292082673)	(20, 36.31576268385253)	(25, 36.24732534192724)	(30, 36.206707542555655)	(35, 36.18131956864625)	(40, 36.16526355209947)	(45, 36.14923105169045)	(50, 36.11328429734455)	(55, 36.05862934876932)	(60, 36.057760074737054)	(65, 36.03704789057996)	(70, 36.00901952472295)	(75, 35.970432233182706)	(80, 35.89426061337765)	(85, 35.899511939852076)	(90, 35.88216795135673)	(95, 35.830195246537826)	(100, 35.82017259254318)	(105, 35.764032060380586)	(110, 35.74218264271797)	(115, 35.71834346239093)	(120, 35.70611473184704)	(125, 35.677826775495205)	(130, 35.57464245873947)	(135, 35.58613321138141)	(140, 35.57300032683973)	(145, 35.51305414352099)	(150, 35.51070434714203)
SRR36750780_2_paired	(1, 35.274665929919905)	(2, 35.08467531804625)	(3, 35.34460520606483)	(4, 35.37689998721483)	(5, 35.452817065578174)	(6, 35.40221510951275)	(7, 35.44697136872187)	(8, 35.507909566478965)	(9, 35.5168237734873)	(10, 35.50879795083142)	(15, 35.48161622818234)	(20, 35.45341858071601)	(25, 35.37206701974764)	(30, 35.35205026311619)	(35, 35.28427550912179)	(40, 35.26451514064051)	(45, 35.23454031639511)	(50, 35.11346647133056)	(55, 35.144049886304664)	(60, 35.111158901897355)	(65, 35.07323716547127)	(70, 35.005771212948204)	(75, 34.85827327294459)	(80, 34.90540109314767)	(85, 34.84010381268179)	(90, 34.81305542653381)	(95, 34.766791672230134)	(100, 34.66515969031045)	(105, 34.69307510954111)	(110, 34.65215645576946)	(115, 34.55658408456154)	(120, 34.519835616663855)	(125, 34.34793778169437)	(130, 34.33549632001839)	(135, 34.32479034797681)	(140, 34.2642217213141)	(145, 34.18907718003699)	(150, 34.144715462112295)
SRR36750781_1_paired	(1, 36.20071977789597)	(2, 36.190229400194816)	(3, 36.34436842564995)	(4, 36.35824117144087)	(5, 36.38600805532184)	(6, 36.358646984422634)	(7, 36.34361755951099)	(8, 36.41521519976599)	(9, 36.39910953932093)	(10, 36.39341948675425)	(15, 36.36418151746648)	(20, 36.324662416350236)	(25, 36.25551757937984)	(30, 36.213215172856536)	(35, 36.18318895607787)	(40, 36.16845705853681)	(45, 36.14851505053245)	(50, 36.1126108706623)	(55, 36.05708689138998)	(60, 36.053710083162294)	(65, 36.02946060581424)	(70, 36.00050492944778)	(75, 35.96205169874432)	(80, 35.88416638125805)	(85, 35.890787856663195)	(90, 35.870925381026744)	(95, 35.82055217617345)	(100, 35.80825803255915)	(105, 35.755655024011695)	(110, 35.72889913805052)	(115, 35.705154298275275)	(120, 35.69048151609253)	(125, 35.661099025984775)	(130, 35.561095082113326)	(135, 35.56813781851656)	(140, 35.55627295890237)	(145, 35.49473670422338)	(150, 35.49203984802674)
SRR36750781_2_paired	(1, 35.590972478255495)	(2, 35.42877329010926)	(3, 35.63933171027124)	(4, 35.65716042964279)	(5, 35.71769981742153)	(6, 35.66672570609003)	(7, 35.700796270492916)	(8, 35.76052962064584)	(9, 35.7508271273716)	(10, 35.75808723943308)	(15, 35.7312104104538)	(20, 35.69915621795827)	(25, 35.62821931142994)	(30, 35.60521147729238)	(35, 35.54129579384686)	(40, 35.52296934223699)	(45, 35.496536519146176)	(50, 35.38351488786556)	(55, 35.40872545251476)	(60, 35.37371337067102)	(65, 35.33569929076519)	(70, 35.26843978808169)	(75, 35.13672637740244)	(80, 35.174735004229696)	(85, 35.11559598980887)	(90, 35.08517582013839)	(95, 35.04220645084958)	(100, 34.94743186695115)	(105, 34.969095189751116)	(110, 34.928241557997225)	(115, 34.8375182199386)	(120, 34.805105405659575)	(125, 34.64179161110068)	(130, 34.62920938325597)	(135, 34.61464600921536)	(140, 34.559542865395194)	(145, 34.47995472102925)	(150, 34.44044960321852)
SRR36750783_1_paired	(1, 36.17518829997365)	(2, 36.172242012674545)	(3, 36.32861134032099)	(4, 36.345301914683205)	(5, 36.37018553768002)	(6, 36.34142321342912)	(7, 36.32821091900112)	(8, 36.403294391861316)	(9, 36.38915629598663)	(10, 36.38087824016364)	(15, 36.34997178369797)	(20, 36.31097599692174)	(25, 36.237891010124)	(30, 36.19364514821535)	(35, 36.16404102400146)	(40, 36.146514568248335)	(45, 36.126993493367266)	(50, 36.08741452861604)	(55, 36.033976480640554)	(60, 36.028770772170255)	(65, 36.00394644049307)	(70, 35.97243651093187)	(75, 35.93418356277773)	(80, 35.85369261697357)	(85, 35.857493914166675)	(90, 35.83989177913609)	(95, 35.78674705498869)	(100, 35.77846161226479)	(105, 35.71975180113538)	(110, 35.69753129419836)	(115, 35.669923554124146)	(120, 35.65719698488731)	(125, 35.626291684982014)	(130, 35.52079165452174)	(135, 35.52775446987333)	(140, 35.5124191127437)	(145, 35.446651100201954)	(150, 35.44826697947639)
SRR36750783_2_paired	(1, 35.261142384476024)	(2, 35.093232444727036)	(3, 35.35823331579301)	(4, 35.391659394374194)	(5, 35.46052710943603)	(6, 35.40669757079828)	(7, 35.44716501529538)	(8, 35.510412374874306)	(9, 35.48313786499003)	(10, 35.521721926325746)	(15, 35.486847497229725)	(20, 35.455465126222094)	(25, 35.37414257830045)	(30, 35.3496392776154)	(35, 35.276287683534505)	(40, 35.25761935571189)	(45, 35.22730145774129)	(50, 35.10152457035856)	(55, 35.13147659296519)	(60, 35.09647830630883)	(65, 35.054931670286656)	(70, 34.982888965652094)	(75, 34.83836025181538)	(80, 34.880552917326774)	(85, 34.81422949431635)	(90, 34.784189155752905)	(95, 34.73846960962844)	(100, 34.63528168417922)	(105, 34.660130001913096)	(110, 34.61829813798555)	(115, 34.51958558832227)	(120, 34.483008159256954)	(125, 34.30719711185751)	(130, 34.29259643708499)	(135, 34.277628821428905)	(140, 34.21781609999066)	(145, 34.13444321420404)	(150, 34.09285644334637)
SRR36750784_1_paired	(1, 36.44632700365637)	(2, 36.496566503604214)	(3, 36.534665703916346)	(4, 36.568797623289164)	(5, 36.587434265873526)	(6, 36.56205599576246)	(7, 36.5300649856468)	(8, 36.5764693163976)	(9, 36.568511941129536)	(10, 36.566778426987)	(15, 36.559207557138464)	(20, 36.53446369975195)	(25, 36.49415806535954)	(30, 36.46389389877304)	(35, 36.438425746075055)	(40, 36.40316279195788)	(45, 36.367540990269084)	(50, 36.3538648130562)	(55, 36.31755174941036)	(60, 36.28869209646108)	(65, 36.25658536664666)	(70, 36.230416398546126)	(75, 36.21119153357727)	(80, 36.184503325146345)	(85, 36.13160446134526)	(90, 36.1063078263202)	(95, 36.070631017810435)	(100, 36.03024537398921)	(105, 36.01420848240836)	(110, 35.95647185784169)	(115, 35.90627826645335)	(120, 35.84573202395677)	(125, 35.81771863396025)	(130, 35.78657893175355)	(135, 35.71126127969026)	(140, 35.6373622953196)	(145, 35.61797253994037)	(150, 35.51920431332523)
SRR36750784_2_paired	(1, 35.99692257672086)	(2, 35.88421234876308)	(3, 36.00081900610028)	(4, 36.03608482137414)	(5, 36.06705814298468)	(6, 35.98833580117129)	(7, 35.984274963659786)	(8, 36.04083309512939)	(9, 36.06276955089865)	(10, 36.05261438462779)	(15, 36.04404882932361)	(20, 36.03423099776065)	(25, 35.95766127535517)	(30, 35.93401577700318)	(35, 35.89742537623804)	(40, 35.85752676305911)	(45, 35.82064161980484)	(50, 35.7641020316651)	(55, 35.725843143045644)	(60, 35.70575515705881)	(65, 35.6470430839801)	(70, 35.601654095369184)	(75, 35.53876900359406)	(80, 35.501491274962305)	(85, 35.471373796844325)	(90, 35.44555074150289)	(95, 35.36481476313497)	(100, 35.33861537898811)	(105, 35.26007722413614)	(110, 35.22965480523949)	(115, 35.13281070982968)	(120, 35.1298370359934)	(125, 35.009602415726604)	(130, 34.97548735441901)	(135, 34.829196277786885)	(140, 34.80187955234819)	(145, 34.667395271776016)	(150, 34.59421737475327)
